idVotation,votation,id,municipality,date,bulletins,valables,inscrit,non,oui,percentage_oui,participation
5670,Politique familiale,CH,Suisse,2013-03-03,2412095,2362482,5174961,1078531,1283951,54.35,46.61
5680,Initiative «contre les rémunérations abusives»,CH,Suisse,2013-03-03,2418825,2378159,5174961,761975,1616184,67.96,46.74
5690,Loi sur l'aménagement du territoire,CH,Suisse,2013-03-03,2406787,2348456,5174961,871514,1476942,62.89,46.51
5700,«Élection du Conseil fédéral par le peuple»,CH,Suisse,2013-06-09,2048664,2030371,5184334,1550080,480291,23.66,39.52
5710,Loi sur l'asile,CH,Suisse,2013-06-09,2044092,2005181,5184334,432174,1573007,78.45,39.43
5720,Abrogation du service militaire obligatoire,CH,Suisse,2013-09-22,2436112,2407796,5195333,1762811,644985,26.79,46.89
5730,Loi sur les épidémies,CH,Suisse,2013-09-22,2424629,2361128,5195333,944387,1416741,60.0,46.67
5740,Libéralisation des heures d'ouverture des shops des stations-service,CH,Suisse,2013-09-22,2425079,2374036,5195333,1049508,1324528,55.79,46.68
5750,Initiative «1:12 - Pour des salaires équitables»,CH,Suisse,2013-11-24,2791082,2751717,5204062,1796930,954787,34.7,53.63
5760,Initiative pour les familles,CH,Suisse,2013-11-24,2788725,2744161,5204062,1604491,1139670,41.53,53.59
5770,Loi sur la vignette autoroutière (LVA),CH,Suisse,2013-11-24,2790051,2750116,5204062,1662748,1087368,39.54,53.61
