id,inhabitant per km^2
4551,432.11
4001,1657.75
301,558.33
4271,1711.31
321,436.68
4221,232.77
5621,137.69
5048,30.02
561,39.19
1051,765.24
21,91.57
131,2364.87
2421,42.36
401,517.07
731,868.52
2761,1372.16
1021,225.32
241,227.69
2511,228.31
562,70.38
1,248.92
4711,171.8
2,1089.72
951,101.74
6101,102.22
5742,53.75
5141,1758.63
5401,605.46
6601,399.65
5061,16.61
1121,180.34
6102,16.16
3542,14.07
402,88.22
5851,157.65
6771,165.0
630,146.3
2762,2287.56
1401,108.46
1361,26.08
1122,143.66
1201,893.45
1341,325.92
2291,126.43
211,86.85
1123,275.09
4641,315.52
5237,63.84
3251,285.03
1022,141.38
3311,41.29
4881,90.17
4191,219.06
4461,673.86
921,168.44
3701,19.48
30,321.82
1202,22.65
3611,14.38
3441,305.76
6602,625.59
6252,11.13
2841,144.86
3101,341.04
5421,103.16
5143,125.0
6261,61.0
5001,220.66
2881,161.05
4401,2382.12
381,238.85
2171,131.26
6021,149.09
2821,161.66
4222,160.96
2763,1310.47
5701,93.33
5743,80.73
4061,542.32
602,88.86
5144,118.01
3921,20.98
1362,268.43
5091,1089.16
5511,192.84
5146,79.9
2321,325.08
4272,125.45
1203,34.3
971,182.72
3231,1545.01
5422,325.61
2061,147.4
4091,272.03
2822,516.05
6191,42.38
322,99.57
2172,27.98
2173,124.44
4223,223.04
5324,53.26
5451,207.77
3681,1.79
2174,319.97
6603,382.54
6604,279.38
6082,69.97
1701,937.21
51,950.58
81,65.36
3291,224.21
4323,633.69
4021,1416.01
6031,28.62
4301,94.66
5242,1310.81
3232,692.97
5744,115.03
5423,59.79
1023,303.44
2541,35.9
2422,377.31
6281,41.16
532,68.64
323,147.58
2243,56.19
6605,445.53
302,124.46
2931,34.1
2162,37.33
2280,210.75
4536,114.42
2701,7037.62
6807,54.76
52,1268.52
5703,63.44
1204,43.27
5745,45.28
297,160.12
5746,99.03
571,40.49
1501,142.23
5148,798.44
5149,257.89
5063,1.37
2951,38.45
5704,359.08
4224,97.0
2612,12.23
4131,784.16
2175,484.29
2542,981.56
6606,737.13
4022,311.94
5002,949.35
732,419.42
6052,31.12
5581,1375.0
5902,54.99
861,492.69
681,80.99
3312,175.44
22,146.74
2882,97.7
5512,269.81
3211,220.11
4891,249.96
23,82.01
4023,440.37
3521,3.14
4062,846.28
2932,230.72
972,31.43
4801,239.15
351,2519.23
3233,697.67
6607,756.59
5424,31.18
1081,147.71
4226,255.74
973,171.46
5471,141.07
2702,544.04
2543,397.3
6205,15.33
4716,293.77
4227,125.35
6773,24.31
6402,357.35
3781,13.58
5402,73.6
5281,104.58
2513,674.84
4002,358.94
4721,229.22
2764,811.49
371,2524.94
2445,78.95
603,488.27
2063,139.39
6054,2.23
2765,3390.56
5151,395.84
5903,45.69
5513,147.42
242,541.91
4024,374.71
4092,866.87
4093,223.59
4132,309.01
2766,4059.06
4901,109.67
4471,497.69
5154,487.98
6172,5.66
6173,212.78
3531,2.46
5425,61.59
6192,3.13
2781,99.72
324,118.28
5049,8.54
6055,6.77
5881,380.61
922,75.08
5064,162.05
5747,44.89
5705,359.59
2514,269.95
352,365.46
791,16.9
3721,214.33
6774,136.59
6775,50.63
2571,260.5
4192,612.34
3,709.66
5551,68.18
82,327.55
5706,481.54
5304,2.36
2323,358.33
4228,228.17
5514,184.15
4273,156.47
2123,126.86
4643,881.25
2767,2137.5
6404,328.26
5426,250.56
5661,91.52
6032,2.05
5613,537.72
5472,92.78
6703,19.41
5473,296.86
6131,67.78
605,92.38
6702,72.38
4723,82.7
3792,6.14
5269,78.28
3981,25.14
2613,536.75
5622,167.12
4063,685.59
353,2315.43
5662,37.8
606,236.65
5515,274.39
5748,43.07
2883,103.26
573,63.95
574,27.1
6002,340.37
5095,3.92
5096,137.11
2782,171.93
5097,101.18
4274,278.29
2124,249.9
6405,19.76
6433,16.0
4095,1750.95
4193,468.21
5160,119.85
3551,24.43
733,844.31
2292,200.0
491,85.93
213,305.26
2823,405.35
112,599.14
2961,80.16
24,91.6
2933,141.13
2465,109.57
923,101.44
5623,286.05
1052,1286.01
4003,1428.52
3271,763.95
83,1049.66
2843,349.0
2125,899.29
5552,35.35
1502,542.96
6778,50.0
4133,1064.13
2783,93.97
404,1027.17
863,138.67
5852,262.22
5853,225.22
5854,65.55
3804,8.01
4921,117.07
325,66.2
2004,122.93
5625,127.21
5663,63.75
1083,195.11
4230,257.21
2844,109.47
111,225.01
403,374.37
2611,73.43
533,311.28
2471,703.55
4302,65.52
2842,355.46
572,167.49
2295,236.66
4303,508.86
4124,100.13
4094,185.2
382,226.24
734,137.25
3021,305.38
53,1173.35
4229,175.91
6193,56.57
2472,153.54
383,272.84
4911,308.31
1205,74.89
1082,424.3
2614,283.44
3395,211.06
2914,87.06
4064,350.0
5161,190.54
5162,2017.11
5003,314.45
3837,4.96
3831,38.05
5004,331.44
5307,1.18
5167,1624.62
5226,179.04
6608,7889.43
5782,205.18
6609,197.28
5171,1528.11
3805,67.26
5249,176.19
3703,1.99
3661,68.72
3782,62.59
5397,22.58
5309,2.78
5310,7.83
6232,138.04
1702,873.99
5904,205.57
6022,106.79
5553,255.22
683,21.42
5812,45.21
5905,66.59
6151,32.97
6611,282.87
2066,129.06
5882,275.9
6132,211.97
5707,443.21
5708,403.69
5907,68.5
5475,47.74
5627,4345.78
5665,45.24
5749,366.67
2009,60.49
6234,577.05
5666,95.78
5909,109.06
5582,896.06
5403,102.25
5476,66.14
5813,95.86
5601,1012.04
2010,267.64
5250,1546.42
5628,381.61
6235,825.5
6614,282.82
3901,1233.2
3911,42.55
2005,153.67
5841,30.15
2325,132.87
2128,131.0
2008,340.0
