id,inhabitant per km^2
6619,725.54
5884,510.83
6408,1312.02
433,47.91
5477,442.6
2186,299.8
5478,197.08
6706,66.3
6783,48.0
6784,122.8
2250,418.77
2251,89.6
6708,252.13
6709,163.58
690,57.69
6785,94.6
434,61.57
2254,902.21
6710,189.1
5713,508.67
5714,581.86
5668,35.15
5283,40.57
2257,224.58
6452,221.28
5583,1400.36
5178,200.46
5910,55.24
5752,74.78
691,55.63
2130,183.89
5479,61.78
5911,46.74
5456,95.59
5138,81.33
2011,165.45
5516,948.28
3532,36.01
5180,1253.7
5181,193.33
5669,62.45
6610,144.26
25,739.03
1125,219.36
5480,171.22
1503,116.01
5071,13.66
6787,31.98
6620,178.35
3851,39.11
3401,276.94
535,39.91
2516,290.17
2051,146.83
6711,572.58
5631,215.5
5632,983.93
4004,55.76
2517,1126.38
6712,112.44
2884,167.67
86,1008.35
536,72.6
762,16.63
2845,506.34
3234,567.71
1053,509.93
385,158.44
4545,366.04
243,2878.23
54,1806.64
4231,233.15
216,211.02
4194,582.8
3982,22.71
2784,108.01
5481,71.61
3722,325.04
2013,343.11
3673,42.29
2014,230.18
5671,76.71
3705,44.64
5913,85.59
1001,107.6
26,112.64
2473,1136.52
6212,69.38
4065,994.07
386,344.79
4406,521.37
2535,164.52
2785,255.93
5715,254.05
2573,811.94
5855,398.14
214,127.23
84,882.14
2572,515.64
85,675.0
575,59.42
761,25.74
215,256.9
5912,28.74
2915,168.46
4304,546.33
191,1972.3
2293,252.89
113,726.64
952,75.93
4134,207.12
1126,46.85
1054,1352.32
3352,116.04
5518,843.48
5633,684.32
2131,176.57
5634,195.11
5482,178.18
2072,68.17
5635,2158.35
6713,33.83
4096,89.23
2401,498.12
192,578.41
4066,373.91
6004,57.43
3212,254.44
901,40.51
55,553.41
4195,210.9
4411,247.67
1127,340.53
4049,652.41
1084,285.91
3252,281.17
4161,313.27
1301,152.19
6194,32.95
6282,5.29
4097,66.27
217,270.95
218,177.0
219,432.84
6283,22.59
56,717.11
1024,1461.11
1504,55.22
4305,212.62
1402,54.8
6453,29.25
4026,1560.56
1505,489.67
1506,148.94
1002,58.8
5584,1991.56
2189,197.51
5914,71.64
2574,173.22
735,96.19
2885,47.33
6104,6.29
953,120.21
924,22.31
492,408.7
4476,296.32
151,1847.97
763,46.46
4005,403.35
2503,382.98
4646,307.29
1025,156.49
6056,14.42
2615,121.21
405,193.02
1206,63.73
1026,277.33
3342,166.07
4806,143.63
692,56.82
4724,695.12
1010,40.67
5915,59.42
5788,198.8
5856,99.43
5520,97.33
2015,694.96
