commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Ammerswil,682,0.21,0.24,0.4,0.15,0.53,0.89
Amriswil,13109,0.18,0.32,0.33,0.16,0.49,0.69
Amsoldingen,808,0.18,0.25,0.36,0.21,0.49,0.97
Andeer,958,0.17,0.24,0.34,0.25,0.48,0.84
Andelfingen,2170,0.21,0.27,0.33,0.19,0.49,0.87
Andermatt,1387,0.14,0.28,0.37,0.21,0.53,0.79
Andiast,203,0.13,0.26,0.4,0.21,0.5,0.87
Andwil (SG),1898,0.24,0.24,0.37,0.16,0.49,0.93
Anières,2424,0.23,0.24,0.37,0.16,0.49,0.67
Anniviers,2716,0.17,0.24,0.36,0.22,0.52,0.79
Anwil,583,0.21,0.22,0.42,0.15,0.5,0.93
Appenzell,5822,0.17,0.3,0.34,0.19,0.51,0.81
Apples,1367,0.23,0.23,0.35,0.19,0.48,0.83
Aranno,347,0.21,0.2,0.4,0.18,0.48,0.86
Arbaz,1195,0.16,0.24,0.35,0.25,0.5,0.85
Arbedo-Castione,4809,0.17,0.28,0.37,0.18,0.49,0.71
Arboldswil,568,0.2,0.2,0.4,0.2,0.51,0.93
Arbon,14263,0.17,0.28,0.35,0.2,0.5,0.69
Arch,1540,0.18,0.24,0.4,0.18,0.49,0.94
Arconciel,864,0.24,0.28,0.36,0.12,0.52,0.88
Ardon,3050,0.22,0.29,0.34,0.15,0.5,0.66
Arisdorf,1658,0.2,0.21,0.4,0.19,0.49,0.9
Aristau,1384,0.18,0.29,0.42,0.12,0.52,0.85
Arlesheim,9219,0.18,0.21,0.36,0.25,0.46,0.8
Arnex-sur-Nyon,219,0.26,0.22,0.4,0.12,0.51,0.73
Arnex-sur-Orbe,621,0.19,0.28,0.35,0.17,0.5,0.87
Arni (AG),1849,0.2,0.24,0.42,0.14,0.51,0.88
Arni (BE),922,0.19,0.28,0.34,0.18,0.52,0.97
Arogno,1004,0.17,0.22,0.4,0.21,0.5,0.86
Arosa,3205,0.12,0.27,0.38,0.22,0.52,0.78
Arth,11596,0.19,0.3,0.36,0.16,0.51,0.73
Arzier-Le Muids,2571,0.22,0.22,0.43,0.13,0.49,0.71
Ascona,5436,0.13,0.2,0.37,0.3,0.47,0.72
Assens,1031,0.22,0.25,0.36,0.16,0.49,0.87
Astano,308,0.13,0.2,0.43,0.24,0.48,0.85
Attalens,3295,0.24,0.26,0.38,0.12,0.5,0.85
Attelwil,282,0.18,0.27,0.41,0.14,0.49,0.95
Attinghausen,1623,0.23,0.26,0.35,0.16,0.5,0.94
Attiswil,1407,0.17,0.23,0.36,0.24,0.5,0.91
Au (SG),7378,0.17,0.3,0.35,0.18,0.5,0.65
Aubonne,3239,0.21,0.28,0.36,0.15,0.5,0.67
Auboranges,272,0.21,0.24,0.42,0.14,0.5,0.91
Auenstein,1565,0.17,0.23,0.42,0.19,0.5,0.91
Augst,946,0.1,0.24,0.42,0.25,0.52,0.8
Ausserberg,628,0.17,0.22,0.38,0.24,0.49,0.93
Auswil,470,0.18,0.28,0.36,0.17,0.52,0.99
Autigny,803,0.22,0.3,0.36,0.12,0.5,0.86
Auw,1982,0.26,0.28,0.36,0.11,0.51,0.85
Avegno Gordevio,1464,0.19,0.24,0.37,0.2,0.5,0.92
Avenches,4110,0.2,0.3,0.35,0.15,0.5,0.64
Avers,168,0.15,0.18,0.42,0.24,0.47,0.94
Avry,1874,0.22,0.28,0.38,0.13,0.49,0.81
Avully,1771,0.21,0.29,0.36,0.14,0.5,0.8
Avusy,1426,0.21,0.23,0.4,0.15,0.49,0.87
Ayent,3921,0.17,0.24,0.36,0.23,0.5,0.86
Baar,23557,0.18,0.29,0.36,0.16,0.5,0.71
Bachenbülach,4033,0.19,0.26,0.36,0.19,0.5,0.76
Bachs,585,0.17,0.23,0.42,0.19,0.51,0.9
Bad Ragaz,5738,0.16,0.29,0.35,0.21,0.5,0.72
Bad Zurzach,4163,0.15,0.24,0.38,0.23,0.5,0.62
Baden,19006,0.16,0.35,0.33,0.16,0.5,0.73
Bagnes,8056,0.17,0.27,0.35,0.21,0.51,0.67
Baldingen,271,0.15,0.25,0.49,0.1,0.49,0.9
Balerna,3387,0.15,0.24,0.36,0.24,0.49,0.75
Balgach,4498,0.18,0.3,0.35,0.17,0.5,0.77
Ballaigues,1071,0.21,0.26,0.32,0.21,0.49,0.85
Ballens,506,0.2,0.24,0.37,0.18,0.52,0.81
Ballwil,2748,0.22,0.29,0.35,0.14,0.51,0.93
Balm bei Günsberg,202,0.16,0.19,0.49,0.16,0.57,0.92
Balsthal,6015,0.19,0.28,0.35,0.18,0.51,0.68
Baltschieder,1300,0.22,0.28,0.38,0.12,0.5,0.92
Bannwil,698,0.19,0.22,0.4,0.2,0.52,0.9
Barberêche,525,0.19,0.24,0.36,0.2,0.52,0.85
Bardonnex,2260,0.2,0.24,0.38,0.18,0.48,0.77
Bargen (BE),995,0.17,0.25,0.4,0.17,0.5,0.9
Bargen (SH),291,0.14,0.25,0.45,0.15,0.56,0.75
Bas-Intyamon,1291,0.22,0.27,0.35,0.16,0.5,0.82
Basadingen-Schlattingen,1827,0.19,0.25,0.4,0.17,0.51,0.85
Basel,169841,0.15,0.32,0.33,0.19,0.48,0.63
Basse-Allaine,1242,0.2,0.23,0.33,0.24,0.49,0.92
Bassersdorf,11580,0.19,0.3,0.36,0.15,0.5,0.76
Bassins,1323,0.24,0.22,0.41,0.12,0.5,0.76
Bauen,158,0.11,0.27,0.44,0.18,0.49,0.93
Baulmes,1032,0.17,0.28,0.37,0.18,0.5,0.83
Bauma,4842,0.18,0.27,0.39,0.16,0.5,0.84
Bavois,941,0.21,0.34,0.35,0.1,0.51,0.81
Beatenberg,1192,0.15,0.19,0.38,0.27,0.49,0.83
Beckenried,3544,0.19,0.26,0.38,0.18,0.51,0.87
Bedano,1544,0.2,0.24,0.38,0.17,0.49,0.82
Bedigliora,635,0.17,0.23,0.4,0.2,0.51,0.87
Bedretto,108,0.06,0.19,0.48,0.26,0.56,0.83
Beggingen,481,0.17,0.22,0.4,0.21,0.51,0.93
Begnins,1824,0.21,0.23,0.38,0.17,0.48,0.73
Beinwil (Freiamt),1080,0.21,0.29,0.36,0.14,0.49,0.9
Beinwil (SO),265,0.21,0.19,0.38,0.21,0.52,0.94
Beinwil am See,3065,0.17,0.25,0.39,0.19,0.5,0.88
Belfaux,3288,0.23,0.33,0.31,0.13,0.5,0.72
Bellach,5210,0.16,0.27,0.35,0.22,0.5,0.73
Bellevue,3260,0.24,0.3,0.33,0.13,0.49,0.63
Bellikon,1548,0.17,0.19,0.47,0.17,0.49,0.9
Bellinzona,18301,0.17,0.27,0.35,0.21,0.47,0.69
Bellmund,1623,0.21,0.22,0.39,0.18,0.5,0.93
Bellwald,411,0.11,0.24,0.4,0.25,0.53,0.85
Belmont-Broye,5106,0.23,0.32,0.33,0.13,0.51,0.77
Belmont-sur-Lausanne,3604,0.22,0.27,0.38,0.14,0.51,0.75
Belmont-sur-Yverdon,369,0.23,0.3,0.36,0.11,0.53,0.83
Belp,11547,0.18,0.27,0.36,0.19,0.49,0.87
Belprahon,308,0.15,0.22,0.35,0.28,0.51,0.95
Benken (SG),2915,0.22,0.27,0.38,0.13,0.5,0.9
Benken (ZH),860,0.19,0.24,0.44,0.14,0.51,0.88
Bennwil,646,0.21,0.23,0.37,0.19,0.53,0.94
Bercher,1148,0.22,0.23,0.39,0.15,0.51,0.81
Berg (SG),840,0.2,0.23,0.39,0.17,0.5,0.92
Berg (TG),3301,0.21,0.26,0.38,0.16,0.5,0.85
Berg am Irchel,573,0.13,0.22,0.42,0.23,0.51,0.9
Bergdietikon,2682,0.18,0.25,0.37,0.21,0.49,0.83
Bergün/Bravuogn,507,0.17,0.29,0.34,0.2,0.54,0.78
Berikon,4608,0.19,0.26,0.38,0.17,0.5,0.82
Beringen,4541,0.17,0.29,0.35,0.19,0.5,0.79
Berken,40,0.05,0.2,0.48,0.28,0.45,1.0
Berlingen,861,0.12,0.18,0.41,0.28,0.49,0.77
Bern,131503,0.15,0.36,0.32,0.18,0.48,0.75
Berneck,3936,0.19,0.26,0.36,0.18,0.5,0.81
Bernex,9932,0.19,0.26,0.35,0.19,0.49,0.79
Berolle,291,0.23,0.27,0.4,0.1,0.52,0.87
Beromünster,6443,0.22,0.3,0.33,0.15,0.5,0.87
Besenbüren,607,0.24,0.24,0.4,0.12,0.5,0.92
Bettenhausen,660,0.15,0.21,0.42,0.21,0.48,0.97
Bettens,557,0.25,0.38,0.31,0.06,0.49,0.84
Bettingen,1158,0.17,0.2,0.39,0.25,0.49,0.75
Bettlach,4872,0.16,0.26,0.37,0.21,0.5,0.83
Bettmeralp,452,0.13,0.27,0.39,0.2,0.49,0.89
Bettwiesen,1154,0.19,0.31,0.39,0.12,0.53,0.79
Bettwil,571,0.17,0.27,0.41,0.15,0.52,0.91
Beurnevésin,126,0.09,0.15,0.39,0.37,0.49,0.95
Bevaix,3817,0.2,0.22,0.39,0.19,0.5,0.84
Bever,627,0.13,0.27,0.42,0.17,0.51,0.84
Bex,7362,0.2,0.28,0.33,0.18,0.49,0.68
Biasca,6164,0.18,0.25,0.35,0.22,0.51,0.64
Biberist,8222,0.17,0.27,0.36,0.2,0.49,0.77
Biberstein,1477,0.15,0.2,0.43,0.22,0.49,0.91
Bichelsee-Balterswil,2801,0.2,0.26,0.37,0.16,0.52,0.88
Biel-Benken,3408,0.21,0.18,0.4,0.21,0.49,0.86
Biel/Bienne,54154,0.17,0.31,0.33,0.19,0.49,0.68
Biezwil,323,0.18,0.21,0.41,0.2,0.52,0.93
Biglen,1745,0.18,0.26,0.37,0.19,0.5,0.92
Billens-Hennens,687,0.21,0.27,0.37,0.15,0.51,0.86
Binn,145,0.19,0.14,0.32,0.35,0.51,0.92
Binningen,15116,0.16,0.25,0.35,0.24,0.48,0.76
Bioggio,2631,0.17,0.27,0.38,0.19,0.48,0.78
Bioley-Magnoux,201,0.17,0.27,0.33,0.23,0.52,0.96
Bioley-Orjulaz,470,0.21,0.31,0.39,0.09,0.51,0.83
Birmensdorf (ZH),6253,0.18,0.27,0.35,0.2,0.49,0.77
Birmenstorf (AG),2922,0.2,0.29,0.36,0.15,0.5,0.79
Birr,4402,0.22,0.3,0.34,0.14,0.51,0.54
Birrhard,697,0.16,0.25,0.43,0.15,0.5,0.87
Birrwil,1131,0.12,0.23,0.43,0.22,0.5,0.87
Birsfelden,10355,0.14,0.28,0.33,0.24,0.49,0.72
Birwinken,1363,0.2,0.25,0.39,0.15,0.5,0.89
Bischofszell,5892,0.18,0.29,0.34,0.18,0.51,0.73
Bissone,871,0.13,0.21,0.43,0.23,0.5,0.63
Bister,31,0.06,0.19,0.48,0.26,0.48,0.97
Bitsch,894,0.17,0.31,0.39,0.14,0.49,0.9
Bière,1566,0.2,0.28,0.34,0.18,0.51,0.74
Blatten,288,0.15,0.22,0.36,0.27,0.49,0.97
Blauen,695,0.15,0.23,0.4,0.21,0.5,0.92
Bleienbach,677,0.14,0.22,0.41,0.23,0.51,0.95
Blenio,1783,0.14,0.23,0.37,0.27,0.5,0.91
Blitzingen,74,0.05,0.16,0.47,0.31,0.53,0.8
Blonay,6128,0.22,0.21,0.38,0.19,0.49,0.76
Blumenstein,1222,0.16,0.24,0.37,0.24,0.51,0.96
Bodio,1037,0.17,0.27,0.35,0.21,0.51,0.5
Bofflens,187,0.22,0.26,0.39,0.13,0.52,0.96
Bogis-Bossey,905,0.26,0.2,0.42,0.13,0.49,0.62
Bolken,571,0.22,0.23,0.42,0.12,0.51,0.95
Bolligen,6138,0.17,0.19,0.36,0.28,0.48,0.92
Boltigen,1288,0.15,0.25,0.36,0.24,0.5,0.96
Bonaduz,3183,0.2,0.28,0.38,0.14,0.49,0.86
Boncourt,1223,0.16,0.21,0.34,0.29,0.48,0.89
Bonfol,669,0.14,0.2,0.36,0.3,0.48,0.91
Boningen,735,0.19,0.33,0.39,0.1,0.5,0.91
Boniswil,1418,0.18,0.24,0.4,0.17,0.49,0.86
Bonstetten,5326,0.22,0.26,0.37,0.15,0.49,0.86
Bonvillars,503,0.2,0.26,0.37,0.17,0.49,0.91
Boppelsen,1323,0.22,0.21,0.4,0.18,0.5,0.88
Borex,1075,0.22,0.26,0.38,0.14,0.5,0.69
Bosco/Gurin,52,0.1,0.27,0.4,0.23,0.63,0.9
Bossonnens,1494,0.24,0.3,0.36,0.11,0.49,0.78
Boswil,2780,0.19,0.31,0.35,0.15,0.51,0.81
Bottens,1223,0.22,0.31,0.35,0.13,0.51,0.84
Bottenwil,783,0.17,0.25,0.39,0.19,0.48,0.92
Botterens,546,0.23,0.26,0.35,0.16,0.49,0.88
Bottighofen,2171,0.17,0.21,0.4,0.22,0.51,0.7
Bottmingen,6441,0.17,0.23,0.35,0.25,0.48,0.76
Boudry,5719,0.2,0.3,0.34,0.16,0.49,0.71
Bougy-Villars,485,0.22,0.19,0.41,0.18,0.48,0.67
Boulens,325,0.22,0.26,0.35,0.18,0.51,0.91
Bourg-Saint-Pierre,182,0.1,0.16,0.48,0.26,0.54,0.81
Bourg-en-Lavaux,5237,0.18,0.25,0.37,0.21,0.49,0.78
Bournens,372,0.28,0.23,0.34,0.15,0.52,0.78
Bourrignon,266,0.16,0.3,0.38,0.15,0.49,0.96
Boussens,961,0.23,0.28,0.38,0.11,0.48,0.84
Bovernier,850,0.18,0.32,0.32,0.17,0.48,0.86
Bowil,1370,0.19,0.28,0.37,0.16,0.51,0.98
Boécourt,898,0.21,0.25,0.35,0.18,0.5,0.91
Braunau,760,0.23,0.28,0.36,0.13,0.49,0.9
Bregaglia,1536,0.14,0.24,0.37,0.25,0.48,0.86
Breggia,2048,0.16,0.21,0.41,0.22,0.49,0.89
Breil/Brigels,1258,0.19,0.24,0.33,0.24,0.5,0.93
Breitenbach,3754,0.18,0.27,0.37,0.18,0.49,0.74
Bremblens,512,0.25,0.22,0.38,0.15,0.49,0.84
Bremgarten (AG),7775,0.18,0.3,0.36,0.16,0.49,0.79
Bremgarten bei Bern,4385,0.19,0.22,0.36,0.23,0.48,0.9
Brenles,144,0.14,0.26,0.45,0.15,0.47,0.97
Brenzikofen,519,0.17,0.26,0.41,0.15,0.52,0.97
Bretigny-sur-Morrens,797,0.23,0.3,0.35,0.12,0.5,0.85
Bretonnières,253,0.2,0.26,0.36,0.18,0.47,0.91
Bretzwil,779,0.21,0.23,0.38,0.18,0.51,0.93
Brienz (BE),3099,0.16,0.25,0.36,0.23,0.49,0.89
Brienzwiler,477,0.14,0.23,0.38,0.26,0.5,0.93
Brig-Glis,13085,0.16,0.29,0.36,0.19,0.48,0.84
Brione (Verzasca),182,0.11,0.21,0.38,0.3,0.47,0.94
Brione sopra Minusio,494,0.09,0.15,0.4,0.36,0.49,0.81
Brislach,1609,0.2,0.23,0.42,0.15,0.51,0.9
Brissago,1768,0.1,0.17,0.38,0.35,0.5,0.79
Brittnau,3858,0.19,0.25,0.4,0.17,0.5,0.9
Broc,2506,0.2,0.27,0.36,0.16,0.5,0.69
Brot-Plamboz,270,0.25,0.24,0.36,0.15,0.52,0.97
Brugg,11196,0.17,0.3,0.34,0.2,0.5,0.72
Brunegg,732,0.2,0.31,0.36,0.13,0.52,0.8
Brusino Arsizio,485,0.11,0.2,0.41,0.28,0.5,0.81
Brusio,1106,0.14,0.22,0.35,0.28,0.5,0.89
Brügg,4298,0.18,0.27,0.35,0.21,0.48,0.79
Brünisried,658,0.16,0.3,0.39,0.15,0.5,0.97
Brüttelen,568,0.14,0.24,0.43,0.19,0.54,0.8
Brütten,2016,0.18,0.24,0.38,0.2,0.51,0.93
Bubendorf,4377,0.17,0.26,0.39,0.19,0.5,0.86
Bubikon,7019,0.21,0.24,0.38,0.18,0.49,0.89
Buch (SH),316,0.12,0.24,0.47,0.16,0.52,0.68
Buch am Irchel,966,0.23,0.27,0.38,0.13,0.49,0.92
Buchberg,824,0.18,0.21,0.41,0.2,0.51,0.9
Buchegg,2505,0.17,0.25,0.39,0.18,0.49,0.95
Buchholterberg,1546,0.2,0.26,0.36,0.19,0.5,0.97
Buchillon,624,0.18,0.23,0.37,0.21,0.49,0.76
Buchrain,6131,0.21,0.28,0.38,0.13,0.5,0.81
Buchs (AG),7731,0.18,0.34,0.33,0.15,0.49,0.67
Buchs (SG),12411,0.17,0.34,0.33,0.16,0.5,0.63
Buchs (ZH),6294,0.19,0.32,0.37,0.12,0.51,0.75
Buckten,693,0.19,0.23,0.38,0.2,0.51,0.83
Bulle,21983,0.19,0.35,0.31,0.14,0.49,0.62
Bullet,606,0.15,0.22,0.36,0.27,0.49,0.94
Buochs,5432,0.17,0.29,0.37,0.17,0.51,0.85
Bure,690,0.17,0.24,0.34,0.25,0.5,0.93
Burg (AG),979,0.16,0.28,0.41,0.14,0.51,0.65
Burg im Leimental,263,0.17,0.18,0.43,0.22,0.46,0.93
Burgdorf,16223,0.16,0.3,0.34,0.2,0.49,0.85
Burgistein,1063,0.17,0.23,0.43,0.18,0.49,0.97
Bursinel,475,0.21,0.28,0.35,0.15,0.48,0.73
Bursins,779,0.23,0.23,0.37,0.16,0.5,0.76
Burtigny,350,0.24,0.24,0.35,0.17,0.51,0.84
Buseno,92,0.11,0.15,0.41,0.33,0.48,0.91
Bussigny,8214,0.19,0.31,0.35,0.14,0.5,0.63
Bussnang,2264,0.2,0.3,0.36,0.14,0.52,0.86
Busswil bei Melchnau,170,0.12,0.19,0.48,0.21,0.55,0.98
Bussy (FR),483,0.19,0.37,0.32,0.12,0.5,0.82
Bussy-Chardonney,377,0.23,0.22,0.38,0.17,0.47,0.88
Bussy-sur-Moudon,198,0.16,0.25,0.37,0.23,0.49,0.88
Buttisholz,3254,0.24,0.27,0.36,0.13,0.51,0.88
Buttwil,1176,0.21,0.22,0.42,0.15,0.51,0.91
Buus,999,0.18,0.23,0.4,0.19,0.51,0.93
Bäretswil,4973,0.19,0.25,0.38,0.18,0.5,0.89
Bäriswil,1023,0.16,0.22,0.42,0.19,0.49,0.94
Bärschwil,812,0.14,0.22,0.41,0.22,0.51,0.92
Bätterkinden,3186,0.18,0.25,0.38,0.19,0.48,0.93
Bättwil,1195,0.2,0.21,0.44,0.14,0.51,0.85
Böbikon,165,0.13,0.2,0.44,0.22,0.53,0.93
Böckten,789,0.19,0.24,0.4,0.17,0.52,0.89
Bönigen,2521,0.17,0.25,0.36,0.22,0.5,0.92
Bösingen,3381,0.18,0.26,0.4,0.16,0.5,0.91
Böttstein,3916,0.17,0.27,0.37,0.19,0.52,0.59
Bözberg,1570,0.15,0.25,0.4,0.2,0.5,0.91
Bözen,723,0.15,0.28,0.42,0.15,0.5,0.84
Büetigen,833,0.19,0.23,0.42,0.16,0.54,0.94
Bühl,423,0.15,0.24,0.41,0.2,0.49,0.97
Bühler,1705,0.22,0.27,0.32,0.19,0.51,0.75
Bülach,19391,0.18,0.33,0.33,0.16,0.49,0.74
Bünzen,1031,0.19,0.29,0.38,0.14,0.51,0.85
Bürchen,738,0.16,0.24,0.39,0.21,0.5,0.96
Büren (SO),996,0.21,0.26,0.38,0.15,0.49,0.86
Büren an der Aare,3537,0.19,0.27,0.36,0.18,0.51,0.82
Bürglen (TG),3690,0.17,0.34,0.35,0.15,0.51,0.73
Bürglen (UR),3993,0.2,0.27,0.35,0.18,0.51,0.94
Büron,2367,0.21,0.3,0.38,0.12,0.51,0.74
Büsserach,2201,0.2,0.27,0.37,0.17,0.5,0.88
Bütschwil-Ganterschwil,4733,0.19,0.3,0.34,0.17,0.5,0.86
Büttenhardt,346,0.18,0.18,0.42,0.21,0.5,0.91
Büttikon,980,0.18,0.24,0.45,0.13,0.51,0.82
Cademario,759,0.19,0.23,0.37,0.22,0.49,0.84
Cadempino,1528,0.18,0.27,0.38,0.17,0.5,0.72
Cadenazzo,2762,0.2,0.3,0.38,0.12,0.52,0.62
Calanca,187,0.07,0.19,0.46,0.28,0.52,0.85
Cama,571,0.18,0.25,0.38,0.19,0.5,0.82
Camorino,2790,0.19,0.26,0.37,0.17,0.51,0.83
Campo (Vallemaggia),57,0.05,0.19,0.51,0.25,0.6,0.84
Canobbio,2137,0.18,0.25,0.37,0.2,0.49,0.76
Capriasca,6522,0.19,0.24,0.38,0.19,0.49,0.89
Carouge (GE),21336,0.18,0.33,0.34,0.14,0.48,0.62
Cartigny,865,0.21,0.23,0.38,0.18,0.51,0.77
Caslano,4336,0.18,0.22,0.36,0.24,0.47,0.71
Castaneda,266,0.15,0.17,0.38,0.3,0.44,0.88
Castel San Pietro,2095,0.17,0.22,0.38,0.23,0.5,0.88
Casti-Wergenstein,52,0.12,0.33,0.4,0.15,0.62,0.92
Cazis,2087,0.18,0.25,0.39,0.19,0.51,0.84
Celerina/Schlarigna,1534,0.16,0.25,0.4,0.19,0.49,0.67
Centovalli,1169,0.13,0.21,0.38,0.28,0.5,0.91
Cerentino,53,0.11,0.15,0.47,0.26,0.6,0.85
Cevio,1184,0.15,0.23,0.39,0.23,0.49,0.83
Chalais,3410,0.18,0.27,0.35,0.2,0.5,0.83
Cham,15953,0.19,0.29,0.38,0.15,0.5,0.75
Chamblon,566,0.15,0.29,0.42,0.14,0.54,0.87
Chamoson,3585,0.19,0.27,0.34,0.2,0.5,0.81
Champagne,1048,0.24,0.32,0.33,0.11,0.5,0.85
Champoz,161,0.22,0.28,0.39,0.11,0.45,0.99
Champtauroz,133,0.29,0.17,0.35,0.2,0.53,0.86
Champvent,616,0.24,0.29,0.34,0.13,0.5,0.85
Champéry,1340,0.14,0.26,0.35,0.25,0.52,0.73
Chancy,1598,0.28,0.28,0.34,0.1,0.51,0.78
Chapelle (Glâne),259,0.23,0.26,0.36,0.15,0.49,0.9
Chardonne,2874,0.16,0.23,0.39,0.22,0.48,0.76
Charrat,1666,0.22,0.31,0.35,0.12,0.5,0.71
Chavannes-de-Bogis,1318,0.24,0.26,0.37,0.13,0.49,0.61
Chavannes-des-Bois,885,0.29,0.23,0.38,0.1,0.49,0.59
Chavannes-le-Chêne,278,0.19,0.31,0.32,0.18,0.49,0.95
Chavannes-le-Veyron,120,0.17,0.32,0.39,0.12,0.47,0.88
Chavannes-près-Renens,7385,0.21,0.38,0.29,0.12,0.5,0.48
Chavannes-sur-Moudon,224,0.21,0.25,0.32,0.22,0.46,0.95
Chavornay,4162,0.23,0.32,0.34,0.1,0.51,0.74
Cheiry,379,0.2,0.26,0.38,0.16,0.5,0.92
Chermignon,3116,0.15,0.24,0.37,0.24,0.51,0.72
Chesalles-sur-Moudon,169,0.16,0.31,0.37,0.17,0.48,0.94
Cheseaux-Noréaz,664,0.22,0.21,0.38,0.19,0.53,0.88
Cheseaux-sur-Lausanne,4318,0.2,0.32,0.35,0.14,0.5,0.77
Chessel,399,0.21,0.3,0.35,0.13,0.52,0.83
Chevilly,287,0.24,0.26,0.39,0.11,0.46,0.89
Chevroux,435,0.2,0.22,0.38,0.19,0.5,0.9
Chexbres,2213,0.18,0.25,0.33,0.23,0.47,0.77
Cheyres,1411,0.19,0.24,0.37,0.19,0.51,0.87
Chiasso,8170,0.14,0.24,0.37,0.26,0.49,0.59
Chigny,333,0.2,0.26,0.41,0.12,0.49,0.74
Chippis,1632,0.2,0.3,0.33,0.17,0.51,0.55
Choulex,1138,0.21,0.24,0.36,0.18,0.48,0.76
Chur,34648,0.14,0.3,0.35,0.2,0.49,0.81
Churwalden,2030,0.15,0.29,0.38,0.18,0.52,0.81
Châbles,769,0.24,0.26,0.39,0.11,0.5,0.86
Château-d'Oex,3405,0.18,0.25,0.33,0.24,0.49,0.75
Châtel-Saint-Denis,6455,0.21,0.29,0.36,0.14,0.5,0.72
Châtel-sur-Montsalvens,274,0.19,0.29,0.36,0.16,0.55,0.73
Châtillon (FR),447,0.21,0.24,0.38,0.17,0.5,0.94
Châtillon (JU),475,0.24,0.26,0.34,0.15,0.51,0.93
Châtonnaye,786,0.24,0.3,0.32,0.14,0.51,0.89
Chénens,854,0.25,0.33,0.31,0.11,0.49,0.8
Chéserex,1195,0.2,0.23,0.41,0.16,0.49,0.74
Chésopelloz,123,0.16,0.3,0.39,0.15,0.55,0.85
