commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Aadorf,8793,0.18,0.28,0.37,0.17,0.51,0.84
Aarau,20702,0.15,0.35,0.32,0.18,0.49,0.8
Aarberg,4527,0.17,0.3,0.34,0.19,0.5,0.88
Aarburg,7721,0.19,0.33,0.34,0.14,0.51,0.56
Aarwangen,4406,0.18,0.26,0.37,0.18,0.5,0.85
Abtwil,970,0.22,0.29,0.41,0.08,0.5,0.87
Aclens,525,0.21,0.29,0.36,0.14,0.53,0.73
Acquarossa,1856,0.16,0.22,0.36,0.27,0.5,0.88
Adelboden,3436,0.19,0.26,0.33,0.22,0.5,0.93
Adligenswil,5348,0.2,0.23,0.38,0.19,0.5,0.9
Adlikon,662,0.19,0.26,0.38,0.16,0.49,0.91
Adliswil,18603,0.18,0.31,0.33,0.19,0.5,0.65
Aedermannsdorf,549,0.2,0.23,0.39,0.18,0.55,0.96
Aefligen,1067,0.16,0.27,0.39,0.18,0.5,0.93
Aegerten,1874,0.17,0.24,0.36,0.23,0.5,0.83
Aesch (BL),10173,0.17,0.25,0.37,0.21,0.49,0.76
Aesch (LU),1088,0.17,0.26,0.39,0.17,0.51,0.91
Aesch (ZH),1197,0.19,0.23,0.36,0.22,0.51,0.85
Aeschi (SO),1216,0.14,0.29,0.4,0.17,0.52,0.95
Aeschi bei Spiez,2217,0.19,0.26,0.36,0.19,0.5,0.93
Aeugst am Albis,1981,0.19,0.23,0.42,0.16,0.5,0.87
Affeltrangen,2495,0.21,0.28,0.37,0.14,0.52,0.84
Affoltern am Albis,11707,0.18,0.3,0.35,0.17,0.5,0.73
Affoltern im Emmental,1157,0.17,0.25,0.38,0.21,0.51,0.96
Agarn,780,0.16,0.27,0.39,0.19,0.52,0.92
Agiez,310,0.22,0.3,0.34,0.14,0.47,0.83
Agno,4466,0.17,0.26,0.37,0.21,0.48,0.66
Aigle,9940,0.2,0.3,0.33,0.17,0.49,0.6
Aire-la-Ville,1160,0.25,0.24,0.39,0.12,0.5,0.81
Airolo,1576,0.15,0.25,0.36,0.24,0.51,0.74
Alberswil,655,0.19,0.33,0.38,0.11,0.52,0.87
Albinen,243,0.09,0.19,0.39,0.33,0.47,0.9
Albula/Alvra,1331,0.14,0.25,0.38,0.22,0.5,0.86
Alchenstorf,602,0.17,0.25,0.37,0.21,0.5,0.95
Allaman,395,0.16,0.29,0.36,0.19,0.54,0.72
Alle,1765,0.22,0.24,0.34,0.2,0.5,0.89
Allmendingen,545,0.18,0.19,0.4,0.23,0.49,0.92
Allschwil,20458,0.16,0.27,0.35,0.23,0.48,0.74
Alpnach,5907,0.18,0.3,0.37,0.15,0.52,0.84
Alpthal,597,0.18,0.22,0.43,0.17,0.51,0.91
Altbüron,986,0.19,0.27,0.38,0.15,0.52,0.92
Altdorf (UR),9201,0.17,0.3,0.33,0.2,0.49,0.86
Altendorf,6743,0.17,0.28,0.4,0.15,0.52,0.79
Alterswil,2047,0.18,0.27,0.38,0.18,0.5,0.94
Altikon,655,0.18,0.22,0.43,0.17,0.5,0.92
Altishofen,1555,0.22,0.33,0.33,0.12,0.51,0.83
Altnau,2149,0.2,0.25,0.39,0.16,0.49,0.81
Alto Malcantone,1421,0.18,0.22,0.4,0.21,0.49,0.92
Altstätten,11356,0.19,0.29,0.34,0.18,0.5,0.74
Altwis,416,0.25,0.26,0.38,0.11,0.51,0.87
Amden,1772,0.16,0.23,0.37,0.25,0.49,0.89
Amlikon-Bissegg,1323,0.18,0.28,0.39,0.15,0.52,0.9
