idVotation,votation,id,municipality,date,bulletins,valables,inscrit,non,oui,percentage_oui,participation
5960,Initiative sur la réforme de l'imposition du couple et de la famille,CH,Suisse,2016-02-28,3354019,3273376,5302873,1664224,1609152,49.16,63.25
5970,Initiative pour le renvoi effectif des étrangers criminels,CH,Suisse,2016-02-28,3379567,3342063,5302873,1966965,1375098,41.15,63.73
5980,Initiative contre la spéculation sur les denrées alimentaires,CH,Suisse,2016-02-28,3336178,3213723,5302873,1925937,1287786,40.07,62.91
5990,Réfection du tunnel routier du Gothard,CH,Suisse,2016-02-28,3365568,3304249,5302873,1420390,1883859,57.01,63.47
6000,Initiative «En faveur du service public»,CH,Suisse,2016-06-05,2485007,2422010,5313287,1637707,784303,32.38,46.77
6010,Initiative «Pour un revenu de base inconditionnel»,CH,Suisse,2016-06-05,2494848,2466188,5313287,1897528,568660,23.06,46.95
6020,Initiative «Pour un financement équitable des transports»,CH,Suisse,2016-06-05,2485384,2429635,5313287,1719661,709974,29.22,46.78
6030,Loi sur la procréation médicalement assistée,CH,Suisse,2016-06-05,2480345,2387735,5313287,897318,1490417,62.42,46.68
6040,Loi sur l'asile,CH,Suisse,2016-06-05,2486032,2420683,5313287,804086,1616597,66.78,46.79
