commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Châbles,718,0.24,0.25,0.41,0.11,0.5,0.87
Château-d'Oex,3357,0.18,0.24,0.34,0.24,0.48,0.76
Châtel-Saint-Denis,6275,0.22,0.29,0.36,0.13,0.51,0.74
Châtel-sur-Montsalvens,254,0.17,0.29,0.38,0.16,0.53,0.73
Châtillon (FR),408,0.23,0.24,0.39,0.14,0.5,0.94
Châtillon (JU),453,0.25,0.25,0.37,0.13,0.5,0.93
Châtonnaye,738,0.26,0.26,0.34,0.14,0.49,0.91
Chénens,705,0.23,0.28,0.36,0.12,0.5,0.85
Chéserex,1227,0.22,0.24,0.4,0.14,0.49,0.74
Chésopelloz,132,0.2,0.31,0.38,0.11,0.55,0.84
Chêne-Bougeries,10551,0.19,0.24,0.32,0.25,0.47,0.66
Chêne-Bourg,8078,0.19,0.29,0.37,0.15,0.47,0.64
Chêne-Pâquier,125,0.22,0.22,0.38,0.18,0.47,0.97
Clarmont,149,0.15,0.34,0.36,0.15,0.51,0.85
Claro,2753,0.22,0.26,0.37,0.15,0.5,0.83
Clavaleyres,49,0.18,0.22,0.37,0.22,0.51,0.98
Clos du Doubs,1301,0.16,0.24,0.36,0.23,0.49,0.92
Coeuve,699,0.23,0.26,0.34,0.18,0.49,0.94
Coinsins,398,0.18,0.23,0.43,0.16,0.49,0.79
Coldrerio,2750,0.15,0.23,0.39,0.22,0.5,0.81
Collex-Bossy,1653,0.23,0.24,0.39,0.13,0.49,0.69
Collina d'Oro,4525,0.19,0.21,0.4,0.2,0.49,0.7
Collombey-Muraz,7980,0.23,0.29,0.36,0.12,0.5,0.77
Collonge-Bellerive,7568,0.23,0.23,0.36,0.19,0.47,0.71
Collonges,672,0.18,0.27,0.34,0.21,0.51,0.84
Cologny,4976,0.19,0.25,0.34,0.22,0.47,0.62
Comano,2060,0.2,0.24,0.36,0.2,0.47,0.88
Commugny,2784,0.26,0.2,0.38,0.15,0.49,0.6
Concise,946,0.21,0.28,0.34,0.17,0.5,0.85
Confignon,4371,0.24,0.24,0.35,0.17,0.49,0.82
Conters im Prättigau,223,0.19,0.24,0.34,0.23,0.47,0.94
Conthey,8195,0.2,0.28,0.35,0.18,0.5,0.76
Coppet,3081,0.22,0.23,0.39,0.16,0.5,0.59
Corban,462,0.23,0.25,0.35,0.18,0.52,0.96
Corbeyrier,407,0.17,0.23,0.32,0.28,0.49,0.92
Corbières,776,0.22,0.27,0.35,0.16,0.49,0.89
Corcelles (BE),212,0.17,0.23,0.38,0.22,0.49,0.95
Corcelles-Cormondrèche,4681,0.22,0.24,0.35,0.19,0.49,0.81
Corcelles-le-Jorat,440,0.18,0.28,0.34,0.2,0.48,0.88
Corcelles-près-Concise,310,0.18,0.3,0.34,0.18,0.47,0.91
Corcelles-près-Payerne,2051,0.22,0.27,0.35,0.16,0.49,0.8
Corcelles-sur-Chavornay,340,0.22,0.27,0.36,0.15,0.47,0.9
Corgémont,1621,0.21,0.25,0.35,0.19,0.5,0.87
Corippo,12,0.0,0.0,0.25,0.75,0.67,0.92
Corminboeuf,2180,0.22,0.25,0.4,0.14,0.51,0.91
Cormoret,481,0.17,0.23,0.38,0.21,0.49,0.94
Cornaux,1585,0.21,0.29,0.37,0.14,0.5,0.77
Cornol,964,0.22,0.27,0.33,0.18,0.51,0.95
Corpataux-Magnedens,1263,0.26,0.29,0.35,0.11,0.52,0.87
Corseaux,2130,0.16,0.21,0.37,0.25,0.47,0.75
Corserey,390,0.25,0.29,0.33,0.13,0.51,0.89
Corsier (GE),1981,0.21,0.26,0.36,0.17,0.5,0.68
Corsier-sur-Vevey,3338,0.18,0.27,0.36,0.2,0.48,0.66
Cortaillod,4701,0.19,0.26,0.36,0.19,0.49,0.8
Cortébert,714,0.19,0.25,0.39,0.17,0.5,0.88
Cossonay,3532,0.24,0.3,0.36,0.11,0.49,0.78
Cottens (FR),1421,0.27,0.27,0.34,0.12,0.5,0.84
Cottens (VD),459,0.25,0.29,0.32,0.14,0.51,0.88
Courchapoix,411,0.22,0.27,0.35,0.16,0.5,0.97
Courchavon,296,0.2,0.28,0.34,0.19,0.47,0.94
Courgenay,2223,0.19,0.26,0.36,0.19,0.5,0.9
Courgevaux,1357,0.21,0.29,0.39,0.11,0.52,0.72
Courlevon,312,0.16,0.34,0.38,0.13,0.49,0.91
Courrendlin,2721,0.21,0.29,0.34,0.16,0.49,0.79
Courroux,3149,0.23,0.27,0.34,0.16,0.49,0.88
Court,1432,0.21,0.27,0.32,0.2,0.5,0.91
Courtedoux,747,0.17,0.23,0.36,0.23,0.47,0.95
Courtelary,1290,0.22,0.25,0.34,0.19,0.5,0.87
Courtepin,3606,0.25,0.31,0.34,0.1,0.51,0.56
Courtételle,2501,0.21,0.31,0.33,0.16,0.49,0.86
Crans-près-Céligny,2147,0.24,0.2,0.38,0.18,0.5,0.68
Crassier,1128,0.28,0.2,0.38,0.13,0.5,0.68
Cremin,54,0.17,0.22,0.41,0.2,0.52,0.83
Cresciano,662,0.15,0.31,0.38,0.17,0.53,0.64
Cressier (FR),848,0.22,0.25,0.4,0.13,0.51,0.78
Cressier (NE),1930,0.21,0.27,0.38,0.15,0.51,0.73
Crissier,7526,0.21,0.33,0.34,0.12,0.51,0.55
Croglio,882,0.17,0.24,0.36,0.24,0.49,0.84
Cronay,351,0.16,0.27,0.39,0.18,0.5,0.91
Croy,319,0.18,0.19,0.36,0.27,0.46,0.92
Crémines,539,0.19,0.23,0.35,0.22,0.49,0.92
Crésuz,305,0.09,0.28,0.35,0.28,0.53,0.81
Cuarnens,409,0.2,0.3,0.36,0.14,0.51,0.87
Cuarny,195,0.16,0.29,0.41,0.13,0.49,0.92
Cudrefin,1430,0.22,0.25,0.39,0.15,0.52,0.87
Cugnasco-Gerra,2898,0.2,0.22,0.41,0.17,0.49,0.86
Cugy (FR),1510,0.23,0.28,0.33,0.16,0.49,0.87
Cugy (VD),2703,0.23,0.29,0.34,0.15,0.49,0.76
Cunter,248,0.15,0.27,0.4,0.18,0.56,0.73
Cureglia,1299,0.2,0.27,0.35,0.19,0.5,0.86
Curio,544,0.17,0.23,0.44,0.17,0.49,0.86
Curtilles,309,0.2,0.25,0.38,0.17,0.5,0.9
Céligny,656,0.24,0.2,0.39,0.17,0.47,0.7
Dachsen,1984,0.21,0.24,0.38,0.17,0.51,0.85
Dagmersellen,5095,0.2,0.32,0.34,0.14,0.51,0.86
Daillens,916,0.24,0.26,0.41,0.09,0.49,0.81
Dallenwil,1796,0.22,0.28,0.36,0.15,0.52,0.92
Dalpe,192,0.1,0.28,0.39,0.23,0.48,0.9
Damphreux,179,0.21,0.24,0.37,0.18,0.5,0.94
Dardagny,1510,0.22,0.29,0.38,0.11,0.49,0.71
Davos,11211,0.15,0.31,0.36,0.18,0.5,0.74
Degersheim,3972,0.22,0.26,0.35,0.17,0.5,0.82
Deisswil bei Münchenbuchsee,84,0.13,0.29,0.39,0.19,0.48,0.98
Deitingen,2258,0.19,0.25,0.38,0.19,0.5,0.9
Delley-Portalban,1016,0.16,0.26,0.36,0.21,0.51,0.88
Delémont,12185,0.18,0.28,0.34,0.2,0.49,0.74
Denens,673,0.21,0.24,0.41,0.15,0.49,0.82
Denges,1621,0.21,0.32,0.37,0.11,0.5,0.7
Densbüren,683,0.15,0.25,0.41,0.19,0.49,0.89
Derendingen,6096,0.17,0.27,0.38,0.17,0.49,0.71
Develier,1421,0.21,0.26,0.35,0.17,0.49,0.88
Diegten,1607,0.2,0.26,0.38,0.15,0.5,0.89
Dielsdorf,5887,0.18,0.33,0.35,0.15,0.5,0.72
Diemerswil,188,0.26,0.2,0.4,0.14,0.51,0.98
Diemtigen,2154,0.2,0.23,0.37,0.19,0.5,0.96
Diepflingen,690,0.21,0.27,0.38,0.14,0.47,0.89
Diepoldsau,6066,0.21,0.3,0.36,0.13,0.51,0.77
Dierikon,1462,0.19,0.32,0.4,0.09,0.51,0.84
Diessbach bei Büren,950,0.23,0.26,0.34,0.16,0.51,0.9
Diessenhofen,3614,0.17,0.29,0.35,0.18,0.51,0.66
Dietikon,25425,0.18,0.35,0.3,0.16,0.5,0.58
Dietlikon,7236,0.18,0.28,0.35,0.19,0.49,0.77
Dietwil,1286,0.22,0.32,0.36,0.1,0.51,0.88
Dinhard,1497,0.21,0.25,0.35,0.19,0.51,0.92
Dintikon,2110,0.21,0.28,0.38,0.13,0.52,0.77
Disentis/Mustér,2064,0.15,0.28,0.34,0.24,0.51,0.88
Dittingen,770,0.18,0.24,0.36,0.22,0.49,0.88
Dizy,225,0.24,0.29,0.38,0.08,0.49,0.9
Domat/Ems,7554,0.2,0.29,0.34,0.17,0.5,0.79
Domdidier,2936,0.24,0.28,0.34,0.14,0.51,0.79
Domleschg,1940,0.19,0.25,0.41,0.16,0.48,0.96
Dompierre (FR),937,0.25,0.33,0.32,0.1,0.51,0.74
Dompierre (VD),250,0.18,0.24,0.41,0.17,0.52,0.88
Donat,205,0.2,0.27,0.35,0.18,0.48,0.98
Donneloye,739,0.22,0.27,0.36,0.16,0.51,0.9
Doppleschwand,746,0.27,0.28,0.31,0.13,0.53,0.97
Dorf,621,0.2,0.21,0.44,0.14,0.5,0.94
Dornach,6467,0.18,0.24,0.38,0.21,0.47,0.76
Dorénaz,834,0.2,0.29,0.35,0.15,0.5,0.83
Dottikon,3710,0.18,0.32,0.36,0.14,0.51,0.66
Dotzigen,1408,0.18,0.24,0.42,0.16,0.5,0.93
Dozwil,674,0.24,0.28,0.31,0.17,0.49,0.87
Drei Höfe,745,0.17,0.24,0.45,0.13,0.51,0.96
Duggingen,1431,0.19,0.22,0.45,0.15,0.5,0.83
Duillier,1052,0.23,0.25,0.38,0.13,0.5,0.74
Dulliken,4764,0.17,0.29,0.35,0.18,0.5,0.59
Dully,570,0.24,0.21,0.4,0.15,0.49,0.6
Dägerlen,977,0.22,0.22,0.43,0.12,0.51,0.92
Dällikon,3768,0.19,0.29,0.37,0.15,0.52,0.72
Däniken,2785,0.16,0.28,0.39,0.17,0.51,0.82
Dänikon,1955,0.2,0.32,0.38,0.1,0.5,0.72
Därligen,415,0.17,0.24,0.39,0.2,0.47,0.87
Därstetten,840,0.19,0.23,0.39,0.18,0.49,0.95
Dättlikon,756,0.22,0.24,0.39,0.15,0.51,0.91
Démoret,121,0.11,0.34,0.38,0.17,0.5,0.92
Dörflingen,933,0.15,0.24,0.44,0.16,0.49,0.82
Döttingen,3826,0.18,0.28,0.37,0.17,0.52,0.61
Dübendorf,25799,0.18,0.32,0.34,0.17,0.49,0.68
Düdingen,7664,0.17,0.28,0.37,0.18,0.5,0.88
Dürnten,7179,0.2,0.27,0.37,0.15,0.51,0.83
Dürrenroth,1066,0.22,0.24,0.36,0.19,0.49,0.98
Dürrenäsch,1189,0.18,0.27,0.39,0.16,0.51,0.89
Ebersecken,402,0.24,0.27,0.36,0.14,0.52,0.96
Ebikon,12599,0.18,0.31,0.35,0.17,0.49,0.79
Ebnat-Kappel,4977,0.18,0.26,0.34,0.22,0.5,0.85
Echallens,5390,0.23,0.28,0.36,0.13,0.5,0.79
Echandens,2234,0.18,0.26,0.36,0.21,0.49,0.79
Echarlens,784,0.25,0.28,0.36,0.11,0.5,0.86
Echichens,2556,0.23,0.24,0.35,0.18,0.49,0.83
Eclépens,1016,0.18,0.33,0.34,0.15,0.53,0.74
Ecublens (FR),320,0.18,0.31,0.41,0.1,0.48,0.91
Ecublens (VD),11998,0.18,0.36,0.32,0.14,0.51,0.54
Ederswiler,118,0.13,0.21,0.36,0.31,0.47,0.97
Effingen,592,0.14,0.26,0.44,0.16,0.5,0.89
Egerkingen,3307,0.18,0.3,0.36,0.15,0.5,0.74
Egg,8293,0.18,0.23,0.39,0.19,0.48,0.81
Eggenwil,915,0.16,0.25,0.44,0.15,0.52,0.82
Eggerberg,339,0.13,0.22,0.47,0.18,0.47,0.95
Eggersriet,2243,0.2,0.24,0.37,0.2,0.49,0.91
Eggiwil,2431,0.2,0.26,0.36,0.18,0.51,0.98
Eglisau,4942,0.21,0.28,0.37,0.15,0.51,0.78
Egliswil,1326,0.19,0.25,0.44,0.12,0.51,0.91
Egnach,4465,0.2,0.28,0.37,0.15,0.51,0.87
Egolzwil,1329,0.18,0.3,0.41,0.12,0.51,0.92
Ehrendingen,4519,0.21,0.27,0.37,0.16,0.49,0.83
Eich,1696,0.18,0.25,0.43,0.14,0.5,0.94
Eichberg,1507,0.22,0.29,0.38,0.12,0.5,0.84
Eiken,2152,0.18,0.28,0.39,0.15,0.52,0.82
Einsiedeln,14875,0.19,0.27,0.37,0.17,0.5,0.86
Eischoll,449,0.12,0.23,0.37,0.29,0.5,0.97
Eisten,209,0.14,0.22,0.39,0.25,0.46,1.0
Elfingen,268,0.15,0.24,0.49,0.13,0.47,0.87
Elgg,4121,0.2,0.26,0.36,0.18,0.5,0.84
Ellikon an der Thur,906,0.22,0.26,0.39,0.13,0.5,0.87
Elsau,3421,0.19,0.25,0.39,0.17,0.5,0.85
Embd,311,0.16,0.2,0.42,0.23,0.5,0.98
Embrach,8938,0.2,0.29,0.37,0.14,0.5,0.75
Emmen,28921,0.18,0.32,0.34,0.17,0.5,0.67
Emmetten,1363,0.13,0.24,0.44,0.19,0.54,0.81
Endingen,2394,0.21,0.24,0.38,0.17,0.5,0.83
Engelberg,4020,0.16,0.27,0.37,0.2,0.52,0.75
Enges,266,0.19,0.22,0.38,0.22,0.53,0.9
Ennetbaden,3264,0.16,0.31,0.35,0.18,0.5,0.78
Ennetbürgen,4552,0.15,0.25,0.39,0.21,0.51,0.87
Ennetmoos,2109,0.2,0.28,0.38,0.14,0.51,0.9
Entlebuch,3290,0.2,0.3,0.33,0.17,0.51,0.94
Epalinges,8936,0.2,0.29,0.34,0.17,0.48,0.72
Ependes (FR),1100,0.22,0.28,0.35,0.15,0.49,0.88
Ependes (VD),331,0.21,0.3,0.34,0.15,0.5,0.86
Eppenberg-Wöschnau,317,0.14,0.35,0.33,0.17,0.54,0.69
Epsach,324,0.16,0.24,0.43,0.17,0.53,0.97
Eptingen,516,0.18,0.26,0.39,0.18,0.53,0.92
Ergisch,192,0.1,0.2,0.43,0.28,0.53,0.96
Eriswil,1385,0.21,0.24,0.35,0.2,0.5,0.95
Eriz,485,0.17,0.24,0.35,0.24,0.52,0.97
Erlach,1327,0.17,0.27,0.39,0.17,0.48,0.85
Erlen,3298,0.21,0.3,0.36,0.13,0.5,0.77
Erlenbach (ZH),5340,0.2,0.21,0.4,0.19,0.49,0.8
Erlenbach im Simmental,1664,0.17,0.25,0.37,0.21,0.49,0.95
Erlinsbach (AG),3838,0.18,0.25,0.37,0.21,0.48,0.85
Erlinsbach (SO),3327,0.19,0.28,0.36,0.17,0.48,0.85
Ermatingen,3089,0.16,0.24,0.4,0.2,0.49,0.72
Ermensee,875,0.23,0.25,0.39,0.13,0.51,0.88
Ernen,536,0.1,0.26,0.42,0.22,0.48,0.89
Erschwil,892,0.19,0.21,0.41,0.19,0.49,0.91
Ersigen,1642,0.19,0.24,0.39,0.18,0.5,0.97
Erstfeld,3802,0.17,0.25,0.35,0.22,0.52,0.81
Eschenbach (LU),3553,0.21,0.26,0.37,0.15,0.5,0.91
Eschenbach (SG),8903,0.21,0.28,0.36,0.16,0.51,0.85
Eschenz,1693,0.17,0.26,0.39,0.18,0.5,0.83
Eschert,364,0.18,0.24,0.38,0.19,0.52,0.86
Eschlikon,4159,0.18,0.29,0.38,0.15,0.51,0.87
Escholzmatt-Marbach,4323,0.2,0.27,0.34,0.18,0.5,0.94
Essert-Pittet,152,0.23,0.23,0.41,0.13,0.52,0.76
Essertes,319,0.23,0.24,0.4,0.14,0.5,0.83
Essertines-sur-Rolle,682,0.27,0.26,0.38,0.1,0.49,0.74
Essertines-sur-Yverdon,901,0.23,0.31,0.33,0.13,0.52,0.9
Estavayer-le-Lac,6093,0.2,0.31,0.34,0.15,0.49,0.72
Etagnières,1076,0.23,0.3,0.36,0.11,0.5,0.78
Etoy,2880,0.23,0.28,0.36,0.12,0.5,0.68
Ettingen,4870,0.17,0.24,0.38,0.21,0.49,0.84
Ettiswil,2533,0.21,0.3,0.36,0.12,0.5,0.92
Etziken,771,0.17,0.25,0.39,0.19,0.49,0.94
Evilard,2500,0.2,0.18,0.38,0.24,0.49,0.89
Evionnaz,1202,0.19,0.3,0.35,0.16,0.53,0.83
Evolène,1729,0.15,0.26,0.37,0.23,0.51,0.9
Eysins,1398,0.25,0.29,0.34,0.12,0.5,0.7
Fahrni,811,0.2,0.27,0.34,0.19,0.52,0.97
Fahrwangen,1940,0.2,0.27,0.38,0.15,0.49,0.79
Fahy,357,0.17,0.2,0.38,0.25,0.49,0.93
Faido,2992,0.13,0.24,0.39,0.24,0.51,0.77
Falera,594,0.15,0.28,0.33,0.24,0.53,0.86
Faoug,795,0.19,0.24,0.44,0.13,0.48,0.82
Farnern,208,0.16,0.19,0.41,0.25,0.48,0.93
Farvagny,2168,0.24,0.3,0.35,0.11,0.49,0.86
Fehraltorf,6283,0.19,0.3,0.38,0.13,0.49,0.83
Fehren,626,0.21,0.24,0.36,0.19,0.5,0.97
Felben-Wellhausen,2611,0.19,0.3,0.38,0.12,0.51,0.81
Feldbrunnen-St. Niklaus,939,0.13,0.23,0.39,0.24,0.5,0.93
Felsberg,2429,0.22,0.3,0.35,0.13,0.51,0.89
Ferden,254,0.13,0.21,0.43,0.23,0.53,0.98
Ferenbalm,1245,0.16,0.24,0.41,0.2,0.49,0.92
Ferlens (VD),328,0.2,0.25,0.39,0.16,0.5,0.95
Ferpicloz,280,0.23,0.25,0.38,0.14,0.49,0.91
Ferrera,88,0.18,0.24,0.34,0.24,0.57,0.92
Ferreyres,304,0.26,0.26,0.37,0.11,0.51,0.94
Feuerthalen,3490,0.18,0.29,0.36,0.17,0.5,0.77
Feusisberg,4936,0.17,0.24,0.44,0.15,0.54,0.75
Fey,608,0.23,0.27,0.36,0.14,0.5,0.9
Fideris,583,0.17,0.26,0.38,0.19,0.51,0.94
Fiesch,935,0.13,0.26,0.42,0.19,0.52,0.84
Fieschertal,320,0.17,0.32,0.38,0.13,0.52,0.93
Fiez,412,0.27,0.22,0.38,0.13,0.5,0.88
Filisur,440,0.15,0.28,0.36,0.22,0.5,0.84
Finhaut,447,0.13,0.23,0.43,0.21,0.6,0.68
Finsterhennen,516,0.23,0.24,0.36,0.16,0.53,0.77
Fischbach,709,0.24,0.26,0.35,0.15,0.53,0.89
Fischbach-Göslikon,1578,0.2,0.29,0.39,0.13,0.5,0.9
Fischenthal,2326,0.23,0.27,0.37,0.13,0.51,0.88
Fischingen,2552,0.2,0.24,0.4,0.16,0.51,0.92
Fisibach,394,0.18,0.28,0.4,0.13,0.55,0.8
Fislisbach,5487,0.18,0.29,0.35,0.18,0.49,0.75
Flaach,1351,0.19,0.26,0.39,0.16,0.5,0.86
Flawil,10277,0.2,0.3,0.33,0.17,0.5,0.71
Flerden,223,0.26,0.22,0.35,0.17,0.49,0.96
Flims,2651,0.14,0.3,0.34,0.22,0.5,0.79
Flumenthal,941,0.14,0.27,0.39,0.2,0.49,0.91
Flums,4876,0.19,0.29,0.34,0.17,0.51,0.76
Flurlingen,1404,0.19,0.24,0.41,0.16,0.51,0.85
Fläsch,671,0.17,0.29,0.4,0.15,0.5,0.93
Flüelen,1985,0.2,0.25,0.36,0.19,0.51,0.88
Flühli,1874,0.18,0.35,0.31,0.16,0.51,0.83
Fontaines-sur-Grandson,154,0.19,0.26,0.4,0.15,0.47,0.88
Fontenais,1677,0.2,0.24,0.36,0.2,0.49,0.92
Forel (Lavaux),2037,0.21,0.28,0.37,0.14,0.5,0.81
Forel-sur-Lucens,152,0.19,0.3,0.32,0.19,0.49,0.94
Forst-Längenbühl,766,0.21,0.27,0.37,0.16,0.48,0.96
Founex,3449,0.26,0.24,0.38,0.12,0.5,0.54
Frasco,106,0.15,0.14,0.51,0.2,0.47,0.98
Fraubrunnen,4840,0.19,0.25,0.39,0.17,0.49,0.94
Frauenfeld,24393,0.17,0.32,0.34,0.17,0.49,0.76
Frauenkappelen,1234,0.16,0.23,0.41,0.2,0.49,0.92
Freienbach,15869,0.16,0.27,0.41,0.17,0.53,0.74
Freienstein-Teufen,2288,0.19,0.24,0.42,0.16,0.5,0.87
Freienwil,967,0.23,0.23,0.41,0.12,0.48,0.86
Freimettigen,470,0.22,0.27,0.36,0.15,0.49,0.94
Frenkendorf,6391,0.18,0.28,0.36,0.18,0.49,0.7
Fresens,223,0.26,0.27,0.3,0.18,0.5,0.98
Fribourg,37479,0.17,0.36,0.31,0.16,0.49,0.64
Frick,5106,0.18,0.3,0.36,0.16,0.51,0.76
Froideville,2113,0.24,0.27,0.36,0.12,0.51,0.86
Frutigen,6726,0.2,0.28,0.34,0.18,0.48,0.93
Fräschels,466,0.16,0.25,0.43,0.15,0.52,0.91
Fulenbach,1686,0.2,0.26,0.38,0.16,0.51,0.91
Full-Reuenthal,820,0.21,0.22,0.4,0.17,0.51,0.87
Fully,8181,0.22,0.3,0.35,0.14,0.5,0.8
Furna,198,0.27,0.19,0.33,0.21,0.45,0.96
Fällanden,8147,0.19,0.27,0.36,0.18,0.49,0.78
Féchy,856,0.22,0.24,0.39,0.15,0.48,0.72
Fétigny,896,0.26,0.3,0.32,0.12,0.51,0.88
Füllinsdorf,4331,0.16,0.24,0.35,0.25,0.49,0.74
Fürstenau,364,0.2,0.24,0.37,0.19,0.51,0.91
Gachnang,3629,0.21,0.26,0.4,0.13,0.51,0.87
Gais,3052,0.19,0.27,0.36,0.18,0.51,0.88
Gaiserwald,8033,0.2,0.26,0.37,0.18,0.49,0.87
Galgenen,5018,0.2,0.29,0.37,0.14,0.51,0.81
Galmiz,636,0.19,0.25,0.38,0.18,0.53,0.85
Gals,731,0.2,0.19,0.41,0.2,0.49,0.91
Gambarogno,5073,0.16,0.23,0.38,0.22,0.49,0.79
Gampel-Bratsch,1906,0.16,0.26,0.38,0.2,0.5,0.9
Gampelen,802,0.17,0.29,0.38,0.17,0.51,0.87
Gams,3215,0.21,0.28,0.38,0.14,0.52,0.8
Gansingen,999,0.18,0.25,0.39,0.18,0.51,0.92
Gebenstorf,4894,0.17,0.29,0.38,0.17,0.5,0.72
Gelterfingen,249,0.1,0.2,0.43,0.27,0.5,0.95
Gelterkinden,5753,0.17,0.27,0.35,0.21,0.49,0.82
Geltwil,194,0.2,0.36,0.38,0.07,0.5,0.85
Gempen,854,0.22,0.21,0.4,0.17,0.49,0.81
Gempenach,287,0.14,0.27,0.45,0.14,0.52,0.91
Genolier,1815,0.23,0.22,0.38,0.17,0.5,0.69
Genthod,2736,0.23,0.23,0.38,0.16,0.49,0.64
Genève,191494,0.16,0.34,0.34,0.16,0.48,0.52
Gerlafingen,4936,0.19,0.29,0.34,0.18,0.5,0.63
Geroldswil,4764,0.18,0.27,0.37,0.18,0.51,0.76
Gersau,2168,0.15,0.24,0.4,0.21,0.52,0.81
Gerzensee,1178,0.19,0.27,0.36,0.17,0.49,0.94
Gettnau,1035,0.21,0.3,0.34,0.14,0.54,0.83
Geuensee,2625,0.22,0.31,0.36,0.11,0.5,0.78
Giebenach,1068,0.19,0.26,0.4,0.15,0.51,0.78
Giez,390,0.22,0.21,0.38,0.19,0.51,0.9
Giffers,1466,0.19,0.26,0.39,0.16,0.5,0.92
Gilly,1052,0.23,0.24,0.41,0.12,0.49,0.71
Gimel,1884,0.23,0.27,0.35,0.15,0.49,0.77
Gingins,1206,0.23,0.23,0.39,0.15,0.49,0.72
Giornico,875,0.14,0.23,0.39,0.24,0.51,0.7
Gipf-Oberfrick,3509,0.2,0.27,0.39,0.14,0.5,0.88
Gisikon,1123,0.18,0.31,0.41,0.09,0.52,0.84
Giswil,3553,0.19,0.28,0.38,0.15,0.51,0.9
Giubiasco,8560,0.18,0.28,0.35,0.2,0.48,0.73
Givisiez,3146,0.21,0.38,0.31,0.1,0.5,0.67
Givrins,980,0.22,0.23,0.41,0.15,0.51,0.69
Gland,12086,0.22,0.31,0.36,0.1,0.49,0.66
Glarus,12417,0.18,0.29,0.35,0.18,0.5,0.75
Glarus Nord,17335,0.18,0.3,0.35,0.17,0.5,0.77
Glarus Süd,9835,0.15,0.24,0.39,0.22,0.52,0.82
Glattfelden,4647,0.2,0.29,0.38,0.13,0.5,0.78
Gletterens,954,0.22,0.24,0.37,0.17,0.49,0.88
Gnosca,718,0.22,0.23,0.36,0.18,0.5,0.88
Golaten,313,0.13,0.31,0.37,0.19,0.5,0.88
Goldach,9262,0.17,0.27,0.35,0.2,0.48,0.77
Gollion,792,0.21,0.29,0.37,0.13,0.5,0.84
Gommiswald,4979,0.2,0.24,0.39,0.17,0.51,0.88
Gondiswil,745,0.21,0.24,0.34,0.21,0.49,0.97
Gonten,1445,0.21,0.28,0.31,0.2,0.51,0.96
Gontenschwil,2038,0.18,0.25,0.39,0.19,0.51,0.84
Gordola,4480,0.17,0.25,0.37,0.2,0.49,0.82
Gorduno,747,0.2,0.3,0.34,0.17,0.47,0.84
Gorgier,2001,0.18,0.24,0.38,0.2,0.5,0.82
Gossau (SG),18084,0.18,0.31,0.34,0.17,0.5,0.8
Gossau (ZH),9714,0.2,0.26,0.38,0.17,0.49,0.86
Gottlieben,306,0.15,0.22,0.46,0.16,0.54,0.61
Goumoëns,934,0.24,0.29,0.33,0.14,0.53,0.87
Graben,317,0.2,0.27,0.38,0.15,0.54,0.93
Grabs,6982,0.21,0.27,0.37,0.16,0.5,0.82
Grafschaft,183,0.11,0.19,0.33,0.37,0.5,0.92
Grancia,505,0.18,0.29,0.38,0.16,0.5,0.7
Grancy,406,0.23,0.25,0.36,0.17,0.49,0.85
Grandcour,822,0.22,0.28,0.32,0.19,0.51,0.9
Grandevent,226,0.21,0.2,0.44,0.15,0.48,0.92
Grandfontaine,381,0.23,0.22,0.35,0.19,0.48,0.96
Grandson,3200,0.19,0.3,0.36,0.16,0.49,0.81
Grandval,362,0.16,0.3,0.35,0.19,0.52,0.93
Grandvillard,772,0.23,0.28,0.35,0.14,0.51,0.88
Granges (Veveyse),829,0.24,0.23,0.39,0.14,0.5,0.86
Granges-Paccot,3102,0.22,0.36,0.33,0.08,0.5,0.71
Grangettes,197,0.24,0.33,0.31,0.12,0.54,0.87
Gravesano,1243,0.17,0.24,0.38,0.2,0.48,0.83
Greifensee,5308,0.2,0.29,0.32,0.19,0.5,0.82
Grellingen,1786,0.17,0.26,0.41,0.15,0.51,0.73
Grenchen,16400,0.16,0.27,0.35,0.22,0.49,0.68
Greng,176,0.18,0.22,0.48,0.13,0.48,0.9
Grengiols,464,0.18,0.25,0.37,0.2,0.49,0.96
Grens,380,0.28,0.2,0.37,0.16,0.49,0.75
Greppen,1043,0.23,0.22,0.44,0.11,0.51,0.82
Gresso,41,0.1,0.1,0.39,0.41,0.54,1.0
Gretzenbach,2531,0.18,0.27,0.41,0.14,0.51,0.81
Grimisuat,3037,0.22,0.27,0.34,0.17,0.49,0.86
Grindel,458,0.16,0.2,0.44,0.2,0.47,0.96
Grindelwald,3768,0.14,0.3,0.35,0.21,0.5,0.81
Grolley,1886,0.22,0.31,0.35,0.12,0.51,0.8
Grono,997,0.16,0.27,0.38,0.19,0.52,0.69
Grossaffoltern,2887,0.18,0.24,0.39,0.19,0.5,0.95
Grossdietwil,836,0.2,0.29,0.36,0.14,0.51,0.92
Grosshöchstetten,3431,0.18,0.25,0.38,0.2,0.49,0.91
Grosswangen,3097,0.24,0.29,0.35,0.13,0.51,0.88
Grub (AR),1020,0.18,0.25,0.37,0.2,0.52,0.88
Gruyères,2077,0.23,0.3,0.34,0.14,0.51,0.81
Gryon,1241,0.19,0.24,0.36,0.2,0.52,0.7
