,Code commune,Population: Habitants (2014),Population: Variation en % (2010-2014),Population: Densité de la population par km² (2014),Population: Etrangers en % (2014),Répartition par âge en %: 0-19 ans (2014),Répartition par âge en %: 20-64 ans (2014),Répartition par âge en %: 65 ans ou plus (2014),Mouvement de la population (en ‰): Taux brut de nuptialité (2014),Mouvement de la population (en ‰): Taux brut de divortialité (2014),Mouvement de la population (en ‰): Taux brut de natalité (2014),Mouvement de la population (en ‰): Taux brut de mortalité (2014),Ménage: Ménages privés (2014),Ménage: Taille moyenne des ménages en personnes (2014),Surface: Surface totale en km² (2004/09),Surface: Surfaces d'habitat et d'infrastructure en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface agricole en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface boisée en % (2004/09),Surface: Surface improductive en % (2004/09),Economie 1): Emplois total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Economie 1): Etablissements total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Constructions et logements: Taux de logements vacants (2015),Constructions et logements: Nouveaux logements construits pour 1000 habitants (2013),Protection sociale: Taux d'aide sociale (2014),Partis politiques en % (élections au Conseil national): PLR 2) (2015),Partis politiques en % (élections au Conseil national): PDC (2015),Partis politiques en % (élections au Conseil national): PS (2015),Partis politiques en % (élections au Conseil national): UDC (2015),Partis politiques en % (élections au Conseil national): PEV/PCS (2015),Partis politiques en % (élections au Conseil national): PVL (2015),Partis politiques en % (élections au Conseil national): PBD (2015),Partis politiques en % (élections au Conseil national): PST/Sol. (2015),Partis politiques en % (élections au Conseil national): PES (2015),Partis politiques en % (élections au Conseil national): Petits partis de droite (2015),Partis politiques en % (élections au Conseil national): Autres (2015),Infractions en ‰ de la population totale: selon le Code pénal (CP) (2014),Infractions en ‰ de la population totale: selon la Loi sur les stupéfiants et les produits psychotropes (LStup) (2014),Infractions en ‰ de la population totale: selon la Loi sur les étrangers (LEtr) (2014)
Wangen (SZ),1349,4801,3.247311828,567.4940898345,13.913767965,20.1624661529,64.2157883774,15.6217454697,3.7723986168,1.6766216075,9.0118411401,6.287331028,2009,2.3519163763,8.45,25.5621301775,53,59.8816568047,-57,10.4142011834,4.1420118343,1619,99,564,956,388,44,97,247,1.083032491,6.1155630536,1.4761703922,14.911606457,15.126825519,18.800922367,47.440430438,*,2.4442736357,*,*,1.2759415834,*,*,26.7819485449,6.3264445382,2.5305778153
Alpthal,1361,598,6.21669627,26.1363636364,7.5250836119999995,21.5719063545,61.3712374582,17.0568561873,8.3682008368,1.6736401673999999,3.3472803347,11.7154811715,237,2.4810126582,22.93,1.7444395988,14,31.3126907981,-61,63.8901003053,3.0527692979,182,52,21,109,66,21,10,35,1.5915119362999999,8.3752093802,1.0050251256,10.176125245,12.915851272,3.228962818,72.798434442,*,0.6849315068,*,*,0.1956947162,*,*,15.0753768844,0,0
Arth,1362,11301,5.6266940836,268.8154138915,26.2366162287,21.1662684718,62.9944252721,15.8393062561,4.0245047623,1.3415015874,10.4637123821,7.154675133,4558,2.4442738043,42.1,9.7149643705,73,40.6413301663,-56,44.5605700713,5.0831353919,3713,270,1136,2307,714,108,129,477,1.1989509179,12.0231422889,1.708551799,20.581977901,20.341774758,15.537711893,38.315832819,*,3.5618694667,*,*,1.6608331618,*,*,32.2726450913,7.0511661544,5.3335743988
Illgau,1363,790,0.1267427123,72.2120658135,2.0253164557,26.3291139241,61.8987341772,11.7721518987,1.2570710245,0,6.2853551226,6.2853551226,282,2.7765957447,10.94,3.4734917733,9,62.3400365631,-5,31.5356489945,2.6508226691,215,70,61,84,63,25,12,26,1.1940298507,7.4906367041,0.6242197253,9.7834803528,24.859663192,4.5709703288,58.059342422,*,2.0048115477,*,*,0.7217321572000001,*,*,0,0,0
Ingenbohl,1364,8659,2.9485197955,646.1940298507,19.7482388267,18.4547869269,59.9376371405,21.6075759326,4.3933175328,1.3873634314,9.1334759235,10.636452974200001,3640,2.2535714286,13.47,18.0400890869,47,28.58203415,-55,48.9235337788,4.4543429844,3444,103,628,2713,625,40,80,505,0.7347712728,1.6203703703999999,2.2800925926,20.260591283,25.723864675,15.368790003,34.318805242,*,2.3087473331,*,*,2.019201463,*,*,35.8796296296,11.8055555556,4.5138888889
Lauerz,1365,1077,2.0853080569,117.3202614379,7.6137418756,25.069637883,61.5598885794,13.3704735376,6.5512400562,0,12.1665886757,3.7435657464,414,2.5966183575,9.24,4.2207792208,11,44.696969697,-16,35.3896103896,15.6926406926,237,64,48,125,83,27,9,47,0.8213552361,0.9433962264,0.5660377358,21.791370836,20.589841617,8.3560895685,46.641179683,*,1.3653741125,*,*,1.2561441835,*,*,20.7547169811,1.8867924528,0
Morschach,1366,1123,8.7124878993,53.886756238,18.6999109528,24.0427426536,62.5111308994,13.446126447,3.5906642729,1.7953321364,11.6696588869,5.3859964093,450,2.44,20.8,4.0865384615,42,51.5384615385,-36,37.115384615400004,7.2596153846,776,74,34,668,123,33,12,78,0.4516711834,19.0045248869,2.3529411765,13.714285714,20.126984127,13.714285714,46.73015873,*,3.2380952381,*,*,2.4761904762,*,*,39.8190045249,0.9049773756,3.6199095023
Muotathal,1367,3485,-2.1342319573,20.2463254517,5.2510760402,24.56241033,59.3400286944,16.0975609756,3.7318788575,1.1482704177,9.4732309459,8.6120281326,1344,2.5416666667,172.19,1.0047041059,35,33.2423485684,-54,23.4508391893,42.3021081364,1456,296,643,517,300,115,66,119,0.8254716981,10.3388856979,1.1487650775,12.951658142,20.920640158,5.3126546774,58.950668207,*,1.2869163504,*,*,0.5774624649,*,*,9.4773118897,2.0103388857,0.5743825388
Oberiberg,1368,890,9.60591133,26.8395657419,11.6853932584,15.393258427,58.0898876404,26.5168539326,2.2883295195,3.4324942792,10.2974828375,3.4324942792,429,2.0396270396,32.84,2.131546894,20,50.1218026797,-42,39.1291108404,8.6175395859,445,89,70,286,124,36,20,68,1.8633540373000002,3.4965034965,0,14.328004737,19.360568384,9.7098875074,55.062166963,*,1.5393724096999999,*,*,*,*,*,24.4755244755,0,0
Riemenstalden,1369,90,3.4482758621,8.0428954424,5.5555555556,35.5555555556,44.4444444444,20,0,0,21.5053763441,32.2580645161,33,2.696969697,11.17,0.6266786034,1,50.8504923903,-2,26.9471799463,21.57564906,51,27,3,21,20,11,1,8,0,0,3.125,18.75,12.5,1.7857142857000001,66.071428571,*,*,*,*,0.8928571429000001,*,*,20.8333333333,0,0
Rothenthurm,1370,2292,6.9528698087,100.7472527473,13.4380453752,25.5235602094,62.6090750436,11.8673647469,3.9456378781,1.315212626,17.9745725559,5.6992547128,873,2.6071019473,22.8,4.1666666667,24,43.2456140351,-31,48.5526315789,4.0350877193,937,117,424,396,191,45,46,100,1.3422818792,7.0484581498,0.8370044053,13.368983957,21.74688057,6.8924539513,56.803327392,*,0.9506833036000001,*,*,0.23767082590000002,*,*,11.4537444934,0.8810572687,1.7621145374
Sattel,1371,1888,6.0078607524,108.5681426107,11.811440678,22.5105932203,64.6186440678,12.8707627119,4.810261892,2.1378941742,13.361838589,5.3447354356,761,2.455978975,17.31,6.7590987868,33,56.3835932987,-6,35.7596764876,1.0976314269,569,171,67,331,181,57,24,100,1.0891089109,4.854368932,1.4563106796,18.258807588,22.120596206,7.4864498645,48.814363144,*,2.1002710027,*,*,1.2195121951,*,*,23.7324703344,3.2362459547,0
Schwyz,1372,14880,3.1685502323,279.8044377586,17.1908602151,20.6787634409,62.0698924731,17.251344086,4.8542052924,1.4832293949,9.3713129951,7.8880836002,6245,2.3362690152,53.19,9.3062605753,85,47.3961270916,-51,37.7326565144,5.5649558188,12033,423,2956,8654,1376,164,195,1017,0.35345680760000003,6.8312478864,1.5421034833,19.888809932,24.181749781,16.536387577,35.664423358,*,1.9646365422,*,*,1.7639928103,*,*,37.1998647278,5.2079810619,1.6909029422000001
Steinen,1373,3295,3.5512256442,278.05907173,8.0728376328,23.8846737481,62.1547799697,13.9605462822,6.366530241,1.5158405336,9.0950432015,5.7601940276,1234,2.631280389,11.85,11.3080168776,35,52.1518987342,-30,21.4345991561,15.1054852321,1172,158,369,645,250,60,50,140,0.2142857143,8.7825560267,0.666262871,19.42890218,22.573798958,12.560293266,39.571676635,*,3.588655219,*,*,2.2766737411,*,*,21.8049666869,7.268322229,0.9085402786000001
Steinerberg,1374,911,5.4398148148,131.6473988439,7.6838638858,24.4785949506,59.4950603732,16.0263446762,5.4764512596,3.2858707558,10.9529025192,6.5717415115,343,2.6034985423,6.92,6.2138728324,13,64.450867052,12,28.7572254335,0.5780346821,342,103,64,175,82,39,15,28,1.055408971,10.9289617486,0.32786885250000003,17.68661735,15.669132482,6.2542030935,57.296570276,*,2.5554808339,*,*,0.537995965,*,*,10.9289617486,3.2786885246,2.1857923497
Unteriberg,1375,2320,0.6507592191,49.9784575614,6.4224137931,22.0689655172,61.5086206897,16.4224137931,2.5951557093,3.4602076125,11.2456747405,6.9204152249,992,2.3125,46.65,3.8156484459,75,42.4008574491,-99,36.077170418,17.706323687,903,140,291,472,228,52,54,122,2.7543993879,4.3402777778,0.6076388889000001,8.5252909048,12.847304678,3.514604607,73.023034909,*,1.5673236761,*,*,0.5224412254,*,*,10.4166666667,0.4340277778,0
Alpnach,1401,5834,4.7772988506,108.4588213423,15.4096674666,20.4833733288,65.1868357902,14.329790881,6.698153714,1.5457277802,10.9918419923,6.698153714,2398,2.3990825688,53.78,5.2621792488,51,31.7962067683,-88,54.146522871,8.7950911119,2917,203,1227,1487,523,80,103,340,0.4536862004,2.4092238857,1.5487867837,*,*,*,37.242327073,*,*,*,*,*,*,62.75767,35.9662708656,2.0650490449,0.5162622612000001
Engelberg,1402,4053,3.8431975404000003,54.1338319754,25.5119664446,17.9373303726,61.5593387614,20.503330866,3.2206119163,2.9728725381,7.9276601016,8.9186176143,1887,2.0990990991,74.76,3.6650615302,62,27.1000535045,-104,25.7758159444,43.4590690209,2544,154,282,2108,486,60,53,373,0.9419152276,3.4825870647,1.0199004975,*,*,*,46.475924634,*,*,*,*,*,*,53.52408,62.1890547264,8.2089552239,0.49751243780000004
Giswil,1403,3558,-1.5222806532000002,41.4154347573,10.3428892636,21.8943226532,63.1534569983,14.9522203485,3.3741037537,1.6870518768,12.3717137635,6.1858568818,1390,2.5366906475,85.94,2.60646963,56,35.3967884571,-136,53.304631138,8.692110775,1317,286,355,676,337,111,65,161,0.31282586030000004,3.094233474,1.2376933896,*,*,*,36.968838527,*,*,*,*,*,*,63.03116,27.566807313600002,1.1251758087,1.4064697609
Kerns,1404,6000,7.1428571429,64.8088139987,9.2,23.8833333333,61.85,14.2666666667,4.0190906807,0.6698484468,14.2342794943,6.8659465796,2284,2.5643607706,92.62,3.1742604189,90,45.2386093716,-123,29.1513711941,22.4357590153,2506,392,841,1273,491,151,94,246,1.1278195489,12.619888945,1.2283358573,*,*,*,32.679738562,*,*,*,*,*,*,67.32026,25.4080430759,5.3844859499,0.1682651859
Lungern,1405,2113,1.5865384615,45.4701958253,10.7903454804,22.0066256507,57.1225745386,20.8707998107,8.0952380952,1.9047619048,10.9523809524,5.2380952381,867,2.4036908881,46.55,3.6090225564000002,45,40.4296455424,-57,41.288936627300004,14.6723952739,1184,147,685,352,171,56,36,79,0.6364359586,3.8332534739,1.1499760422,*,*,*,23.512476008,*,*,*,*,*,*,76.48752,21.5620507906,0,0.4791566842
Sachseln,1406,5044,4,93.5286482477,13.1046788263,22.4226804124,60.2498017446,17.327517843,5.7705700925,1.3928962292,10.7451994826,7.7604218486,2056,2.4285019455,53.84,3.6775631501,65,44.2607726597,-146,41.0661218425,10.9955423477,3011,210,1844,957,383,81,55,247,0.042553191500000004,10.585180747,0.3594967046,*,*,*,30.014360938,*,*,*,*,*,*,69.98564,21.7695226683,1.1983223487,0
Sarnen,1407,10232,2.6175910139000003,139.953494734,14.4937451134,19.2240031274,62.0699765442,18.7060203284,4.1346721796,0.984445757,9.1553455405,6.5957865722,4338,2.3181189488,73.14,5.9611703582,109,38.9663658737,-164,50.7383100902,4.3341536779,8051,388,1962,5701,1271,152,152,967,0.1786068664,5.751685839,1.1999206664,*,*,*,34.353586112,*,*,*,*,*,*,65.64641,65.6485521618,4.8591828639,0.9916699722000001
Beckenried,1501,3452,4.1013268999,142.3505154639,12.3406720742,20.1042873696,62.5724217845,17.3232908459,4.6790466442,1.4622020763,10.5278549496,7.6034507969,1492,2.2788203753,24.27,6.0568603214,24,48.7433044911,-23,37.3300370828,7.8697981047,1136,160,262,714,256,47,41,168,1.0828370330000001,5.6096840862,0.5314437555,*,*,*,83.851402578,*,*,*,*,*,*,16.1486,39.5630351343,5.6096840862,3.8382049011
Buochs,1502,5398,1.5043249342,541.9678714859,14.6906261578,19.711004075600002,64.0051871063,16.2838088181,4.2942494399,2.9873039582,7.6549663928000005,5.9746079164,2222,2.400540054,9.94,18.0080482897,29,46.7806841046,-25,33.5010060362,1.7102615694,1953,131,610,1212,364,45,80,239,1.1041009464,0.7527286413000001,0.6774557772,*,*,*,83.820564516,*,*,*,*,*,*,16.17944,24.2754986827,2.4463680843,0.564546481
Dallenwil,1503,1828,2.0658849805,118.1641887524,8.8074398249,24.124726477,61.2144420131,14.6608315098,2.7593818985,1.1037527594,11.0375275938,5.5187637969,724,2.5082872928,15.49,4.6481601033,17,53.9057456423,-22,37.5726275016,3.8734667527,770,122,234,414,151,41,29,81,0.6444683136,6.6815144766,0.44543429840000004,*,*,*,88.709677419,*,*,*,*,*,*,11.29032,18.3741648107,1.6703786192,0.5567928731
Emmetten,1504,1363,9.3900481541,54.695024077,18.7820983125,14.5267791636,66.1775495231,19.2956713133,8.804108584,2.201027146,8.0704328687,11.00513573,651,2.0737327189,24.99,2.7611044418,14,36.4945978391,-36,47.8991596639,12.8451380552,361,65,46,250,115,25,19,71,1.8264840183,2.9347028613,0.5869405723000001,*,*,*,83.905579399,*,*,*,*,*,*,16.09442,15.407190022,1.4673514307,2.9347028613
Ennetbürgen,1505,4549,4.9849988461,488.0901287554,13.4754891185,16.3332600572,61.9916465157,21.6750934271,5.0538343221,2.1973192705,6.8116897385,7.9103493738,2028,2.2110453649,9.39,15.9744408946,35,49.3077742279,-34,33.8658146965,0.8519701810000001,1449,101,398,950,324,43,41,240,0.7950530035000001,4.3927081045,1.0322864046,*,*,*,85.46964193,*,*,*,*,*,*,14.53036,19.5475510652,1.0981770261000001,0
Ennetmoos,1506,2103,1.1057692308,149.4669509595,10.2710413695,21.6833095578,63.9562529719,14.3604374703,8.0721747388,1.4245014245,11.8708452042,7.1225071225,847,2.4486422668,14.1,6.6666666667,17,47.9432624113,-7,43.475177305,1.9148936170000002,602,166,221,215,155,58,25,72,2.9197080292,10.4314841157,1.1853959222000001,*,*,*,84.353741497,*,*,*,*,*,*,15.64626,18.4921763869,4.2674253201,1.4224751066999999
Hergiswil (NW),1507,5611,2.615215801,392.3776223776,20.6380324363,14.8458385315,63.3755123864,21.7786490822,4.4686745911,2.6812047547,6.9711323621000005,10.0098310841,2624,2.1162347561,14.22,10.5485232068,25,28.8326300985,-21,45.8509142053,14.7679324895,3495,65,717,2713,791,24,84,683,1.1570827489,7.8881319469,1.2549300825,*,*,*,85.41165142,*,*,*,*,*,*,14.58835,55.7547508067,1.9720329867,0.8963786303
Oberdorf (NW),1508,3081,0.6533812480000001,190.1851851852,6.4264849075,21.9733852645,61.2463485881,16.7802661474,2.907446293,0.6460991762,9.0453884671,5.1687934098,1220,2.4926229508,16.15,7.4303405573,32,52.8792569659,-29,37.4613003096,2.2291021672,1224,162,603,459,192,60,40,92,2.5335320417,2.5723472669,0.2250803859,*,*,*,84.639016897,*,*,*,*,*,*,15.36098,11.575562701,0.3215434084,0
Stans,1509,8207,3.0900640623,740.7039711191,12.3918606068,19.7514317046,62.1908127208,18.0577555745,4.5171529728,1.5871078012000002,10.1330728849,5.4938346966000005,3418,2.340842598,11.11,20.8820882088,69,40.0540054005,-69,36.8136813681,2.2502250225,9226,88,2896,6242,1011,31,122,858,0.7016632017000001,14.1896024465,1.4311926606,*,*,*,73.591549296,*,*,*,*,*,*,26.40845,52.4770642202,5.504587156,0.8562691131
Stansstad,1510,4381,-1.4398200225,483.0209481808,15.1563569961,14.106368409,63.3417028076,22.5519287834,4.5542525333,2.04941364,9.1085050666,7.9699419333,2131,2.0342562177,9.14,15.4266958425,20,32.6039387309,-17,49.5623632385,2.4070021882,2172,66,554,1552,449,25,65,359,2.6958719461,1.3630168105,0.9313948205,*,*,*,83.829787234,*,*,*,*,*,*,16.17021,32.9395729214,4.0890504316,0.6815084053
Wolfenschiessen,1511,2107,5.0872817955,22.7292340885,10.2040816327,24.3948742288,60.9397247271,14.6654010441,5.7034220532,1.9011406844,10.9315589354,6.6539923953999995,797,2.617314931,92.81,1.3576123263,40,39.6293502855,-82,33.6386165284,25.3744208598,855,224,259,372,211,89,32,90,1.7601760176,6.1875297477,1.0471204188,*,*,*,88.715486194,*,*,*,*,*,*,11.28451,35.6972870062,0.9519276535000001,0
Glarus Nord,1630,17587,5.8310265977,119.6394557823,22.9658270313,20.3900608404,62.6599192585,16.9500199011,5.4406964091,1.8899261211,10.6523108642,7.7887864383,7450,2.3193288591,146.98,5.9599945571,132,37.1955368077,-211,40.5361273643,16.3083412709,8308,428,3466,4414,1268,159,259,850,2.518351214,6.2878569368,1.9440438419000001,*,*,38.437796771,*,*,*,57.454890788,*,*,*,4.107312,38.8808768388,5.7109893279,1.7882895875
Glarus Süd,1631,9761,-0.600814664,22.6952498314,18.0514291568,16.944985145,60.6290339105,22.4259809446,4.0822574884,1.939072307,7.4501199163,11.5323774047,4316,2.1767840593,430.18,1.6016551210999999,117,28.8018968804,-571,26.9933516203,42.6030963783,4874,464,2220,2190,807,178,153,476,1.856884058,1.5250101667,2.0943472956,*,*,51.015873016,*,*,*,45.238095238,*,*,*,3.746032,23.0784871899,11.0817405449,3.2533550224
Glarus,1632,12446,2.2678718159,120.0540175557,25.6708982806,20.0787401575,61.3369757352,18.5842841073,4.4233553161,1.447643558,9.5705324111,9.8922309796,5437,2.2378149715,103.62,4.1401273885,42,26.31731326,-60,34.337000579,35.2055587724,8367,178,2590,5599,1174,60,197,917,1.8315018315,1.4490420222,2.4633714378000002,*,*,47.748031496,*,*,*,49.700787402,*,*,*,2.551181,48.2208984061,10.2237964901,5.8766704234
Baar,1701,23228,6.6140358930000005,934.7283702213,28.1427587395,20.2815567419,63.6214913036,16.0969519545,5.501702908,2.0522225133,10.5667627281,5.8946816872,10160,2.2616141732,24.78,22.1953188055,114,52.380952381,-113,24.7376916868,0.6860371267,22521,305,4425,17791,3358,80,380,2898,0.1922900833,6.3341601701,2.0419914954,15.943110282,23.058988109,15.975751924,32.604336675,*,3.3854045232,*,*,8.1510841688,*,0.881324,44.1176470588,3.1006378455,1.5946137491
Cham,1702,15523,4.8284710967,875.521714608,23.7905044128,21.026863364,64.2466018167,14.7265348193,6.278723542,1.618227717,12.0396142145,5.5667033465,6440,2.3624223602,17.76,24.9436936937,104,60.5292792793,-101,12.5,2.027027027,10000,169,1972,7859,1701,55,208,1438,0.146092038,9.3008130081,2.2243902439,15.758394991,26.40153671,14.805065452000001,31.395845191,*,3.9200341491,*,*,6.687535572,*,1.031588,49.3658536585,5.8536585366,1.6260162602000001
Hünenberg,1703,8841,3.0299498893,480.2281368821,16.4574143196,23.5606831806,61.407080647,15.0322361724,4.6477356459,1.360312872,9.2954712917,5.1011732699,3464,2.5433025404,18.41,14.2857142857,70,60.1303639326,-77,16.6757197175,8.9082020641,6674,253,1236,5185,1183,60,156,967,0.0825536599,0.7952738014,1.1929107021,17.167381974,32.747779219,13.564227967,27.647469807,*,3.5033436471,*,*,4.6411817547,*,0.728616,43.3992274483,6.2485798682,2.9538741195
Menzingen,1704,4380,-0.4771642808,159.2148309706,18.904109589,20.9589041096,59.8173515982,19.2237442922,3.9040073487,2.0668274199,7.5783672063,5.9708347686,1640,2.4695121951,27.47,7.4990899163,20,62.7229705133,-17,28.2489989079,1.5289406625000002,1760,280,257,1223,366,102,61,203,1.9677093845,0.9240009240000001,1.8942018942,18.844643859,34.754159656,9.8149186764,28.285660871,*,1.6825574874,*,*,5.3467937932,*,1.271266,29.568029568,0,2.079002079
Neuheim,1705,2018,4.0742650851,254.4766708701,21.1595639247,23.2408325074,63.3795837463,13.3795837463,3.4636318654,1.9792182087999999,5.4428500742,5.9376546264000005,779,2.5905006418000003,7.94,13.9798488665,7,66.6246851385,-7,17.8841309824,1.5113350126,1036,72,361,603,236,28,33,175,1.4101057579,1.9762845850000001,1.2845849802,19.552572707,28.724832215,10.604026846,33.780760626,*,2.7293064877,*,*,4.2058165548,*,0.402685,30.1383399209,2.4703557312,3.95256917
Oberägeri,1706,5950,9.1542836177,197.8716328567,25.3109243697,22.3193277311,61.3781512605,16.3025210084,4.924435388,1.1886568178,7.6413652573,6.2829003226,2419,2.4109136007,30.07,6.7509145327999995,39,45.4273362155,-29,45.8929165281,1.9288327236,1857,213,327,1317,471,76,54,341,0.2551020408,12.0109814688,1.2010981469,16.525561706,33.979159883,6.6265060241,35.672419407,*,2.1328557473,*,*,4.4610875936,*,0.60241,23.5072065889,0.6863417982000001,0.1715854496
Risch,1707,10036,10.4678040726,675.3701211306,26.3053009167,20.7752092467,68.3539258669,10.8708648864,6.800340017,1.3000650033,14.1007050353,3.7001850093,4033,2.4666501364,14.84,28.7735849057,176,54.4474393531,-181,14.6900269542,2.0889487871,9492,124,3914,5454,1023,39,126,858,0.1761726492,11.8438221419,2.0576131687,17.77455033,24.086694224,9.4738018099,35.940118423,*,3.6867389119,*,*,7.7644955871,*,1.273601,55.7061126167,2.408912978,3.4126267189
Steinhausen,1708,9427,3.6959630404,1870.4365079365,23.2947915562,20.8762066405,62.968070436,16.1557229235,5.0307733476,1.4985282312,9.3122825796,5.5659620016,3937,2.3688087376,5.04,37.3015873016,45,46.4285714286,-48,15.4761904762,0.7936507937,8279,47,2038,6194,941,20,123,798,0.1942690627,4.5366169799,1.6202203499999999,15.455155446,30.049205994,13.475732498,27.298143592,*,3.6009841199,*,*,8.8682621338,*,1.252516,52.7111687189,1.18816159,1.0801469
Unterägeri,1709,8477,5.0694100149,331.0035142522,24.5959655539,21.5170461248,60.5992686092,17.883685266,2.9668308313000002,1.6614252655000001,10.3245712929,6.1710081291,3598,2.3310172318,25.56,7.9812206573,46,36.6588419405,-27,53.6384976526,1.7214397496,3118,132,708,2278,646,51,98,497,0.3766951281,2.7459407832,1.5162368672,20.512820513,27.865589509,9.6592904812,34.621238731,*,2.4001873317,*,*,4.2617960426,*,0.679077,28.7726838586,4.1786055396,2.6265520535
Walchwil,1710,3606,1.0933557611,266.1254612546,33.2224070993,20.2163061564,61.175818081,18.6078757626,3.8716814159,1.3827433627999999,8.5730088496,8.0199115044,1510,2.3602649007,13.53,9.3865484109,25,42.2764227642,-5,44.2719881744,4.0650406504,1064,107,284,673,308,44,33,231,1.6676250718999999,8.5493656922,0.9100937672,19.529540481,26.340262582,12.062363239,36.734135667,*,2.5711159737,*,*,2.489059081,*,0.273523,36.6795366795,1.6547159404,1.6547159404
Zug,1711,28603,8.6451171801,1322.9879740981,31.7379295878,17.6205293151,64.1715903926,18.2078802923,5.3744431087,1.9446998091,11.9864224595,8.1677391981,13315,2.1016898235,21.65,26.558891455,67,33.0715935335,-59,37.8752886836,2.4942263279,39614,142,6311,33161,6979,43,348,6588,0.7355946056,5.6507277994,1.6987947498,19.489635506,22.465543085,17.16082331,25.412203415,*,4.8148283552,*,*,9.512667714700001,*,1.144299,89.624834591,8.6906762991,8.1184506992
Bussy (FR),2004,445,22.9281767956,122.5895316804,19.1011235955,21.3483146067,65.8426966292,12.808988764,2.3501762632,2.3501762632,9.4007050529,7.0505287897,185,2.3945945946,3.62,12.1546961326,16,81.4917127072,-19,5.5248618785,0.8287292818,265,39,28,198,32,8,7,17,0.9852216749,81.2807881773,1.2315270936,23.426573427,26.456876457,17.132867133,21.678321678,0.5827505828,1.5151515152,3.1468531469,*,6.0606060606,*,*,19.7044334975,0,0
Châbles,2005,733,10.5580693816,156.6239316239,12.9604365621,26.1937244202,63.0286493861,10.7776261937,5.5134390076,2.7567195038000003,17.9186767746,5.5134390076,278,2.6223021583,4.77,9.4339622642,17,51.7819706499,-20,28.0922431866,10.6918238994,126,39,33,54,45,10,9,26,0.625,6.9637883008,0,14.016489988,21.731448763,23.498233216,27.738515901,1.1189634865,2.4734982332,2.296819788,*,5.0647820966,2.0612485277,*,6.9637883008,0,0
Châtillon (FR),2008,442,26.2857142857,340,5.8823529412,24.2081447964,60.6334841629,15.1583710407,9.4117647059,4.7058823529,14.1176470588,2.3529411765,175,2.5142857143,1.3,16.9230769231,7,55.384615384599996,-8,27.692307692299998,0,53,19,7,27,18,5,3,10,0,22.0588235294,0.9803921569,13.692579505,30.653710247,17.5795053,21.201413428,2.4734982332,2.6501766784000003,4.1519434629,*,5.1236749117,2.4734982332,*,36.7647058824,0,0
Cheiry,2009,392,12.3209169054,60.7751937984,9.4387755102,22.7040816327,61.7346938776,15.5612244898,5.2424639581,2.621231979,15.7273918742,2.621231979,153,2.5294117647,6.48,6.9444444444,12,65.5864197531,-15,27.1604938272,0.30864197530000004,89,51,8,30,33,16,2,15,0,10.781671159,1.3477088949,16.216216216,20.329024677,15.62867215,37.015276146,0.1175088132,2.9377203290000002,1.4101057579,*,3.4077555817,2.9377203290000002,*,24.2587601078,0,0
Cheyres,2010,1373,19.08065915,265.5705996132,12.0903131828,22.8696285506,58.8492352513,18.2811361981,4.4264109185,5.9018812246,10.3282921431,5.1641460716,587,2.3270868825,5.13,14.2300194932,13,42.4951267057,-8,35.6725146199,7.6023391813,177,32,32,113,79,10,14,55,1.7412935323,13.4529147982,0.6726457399,12.808539026,14.743162108,29.319546364,27.785190127,2.2348232155,1.0673782522,4.3028685791,*,5.703802535,2.0346897932,*,90.4334828102,2.9895366218,1.4947683109
Cugy (FR),2011,1640,15.7374735356,165.991902834,14.6341463415,24.756097561,60,15.243902439,5.0793650794,3.1746031746,8.253968254,8.253968254,647,2.5224111283,9.87,10.3343465046,31,70.1114488349,-32,19.452887538,0.1013171226,344,106,121,117,89,25,19,45,0.41322314050000003,1.3245033113,1.9867549669,19.495054659,27.225403436,18.193649141,26.210307132,0.7808433108,1.5096304007999999,0.8328995315000001,*,5.2316501822,0.5205622072,*,53.642384106,10.5960264901,7.9470198675
Domdidier,2013,2948,9.1043671355,330.8641975309,21.3704206242,26.6621438263,59.2944369064,14.0434192673,4.4187627464,2.3793337865,9.8572399728,5.0985723997,1101,2.6630336058,8.93,15.7894736842,50,67.9731243001,-52,15.117581187,1.1198208287,2234,49,995,1190,212,19,52,141,0.406504065,1.7029972752,1.9754768392000002,14.636331064,24.131135794,29.111429595,23.127911143,1.7556431387,1.2361160874000001,1.7914725905000002,*,3.6366893587,0.573271229,*,65.7356948229,5.1089918256,9.5367847411
Dompierre (FR),2014,994,29.0909090909,223.8738738739,28.0684104628,26.4587525151,63.6820925553,9.8591549296,9.321595028499999,0,13.4645261523,5.1786639047,375,2.6266666667000003,4.44,10.1351351351,17,87.3873873874,-17,0.9009009009000001,1.5765765766,166,52,38,76,57,17,12,28,1.4184397163,8.537886873,0.6403415155000001,8.064516129,26.008064516,17.809139785,32.594086022,1.9489247312,3.3602150538,1.3440860215,*,6.3844086022,2.4865591398,*,44.8239060832,6.4034151547,6.4034151547
