,Code commune,Population: Habitants (2014),Population: Variation en % (2010-2014),Population: Densité de la population par km² (2014),Population: Etrangers en % (2014),Répartition par âge en %: 0-19 ans (2014),Répartition par âge en %: 20-64 ans (2014),Répartition par âge en %: 65 ans ou plus (2014),Mouvement de la population (en ‰): Taux brut de nuptialité (2014),Mouvement de la population (en ‰): Taux brut de divortialité (2014),Mouvement de la population (en ‰): Taux brut de natalité (2014),Mouvement de la population (en ‰): Taux brut de mortalité (2014),Ménage: Ménages privés (2014),Ménage: Taille moyenne des ménages en personnes (2014),Surface: Surface totale en km² (2004/09),Surface: Surfaces d'habitat et d'infrastructure en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface agricole en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface boisée en % (2004/09),Surface: Surface improductive en % (2004/09),Economie 1): Emplois total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Economie 1): Etablissements total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Constructions et logements: Taux de logements vacants (2015),Constructions et logements: Nouveaux logements construits pour 1000 habitants (2013),Protection sociale: Taux d'aide sociale (2014),Partis politiques en % (élections au Conseil national): PLR 2) (2015),Partis politiques en % (élections au Conseil national): PDC (2015),Partis politiques en % (élections au Conseil national): PS (2015),Partis politiques en % (élections au Conseil national): UDC (2015),Partis politiques en % (élections au Conseil national): PEV/PCS (2015),Partis politiques en % (élections au Conseil national): PVL (2015),Partis politiques en % (élections au Conseil national): PBD (2015),Partis politiques en % (élections au Conseil national): PST/Sol. (2015),Partis politiques en % (élections au Conseil national): PES (2015),Partis politiques en % (élections au Conseil national): Petits partis de droite (2015),Partis politiques en % (élections au Conseil national): Autres (2015),Infractions en ‰ de la population totale: selon le Code pénal (CP) (2014),Infractions en ‰ de la population totale: selon la Loi sur les stupéfiants et les produits psychotropes (LStup) (2014),Infractions en ‰ de la population totale: selon la Loi sur les étrangers (LEtr) (2014)
Obfelden,10,4927,5.1429790866,653.4482758621,18.9364724985,23.2392936878,61.0919423584,15.6687639537,4.0841331427,2.0420665714,10.414539514,4.6967531142,1998,2.4509509510000003,7.55,24.238410596,44,49.2715231788,-44,21.3245033113,5.1655629139,1189,65,336,788,305,20,69,216,0.7494145199000001,4.7257037189,2.1162934046,14.413031821,6.488175582,16.922138195,36.174028808,4.7926335447,7.3886433815,4.3581162288,0.0869034632,3.7054157499,2.9824528965,2.68846,31.6416683789,1.6437230327,1.0273268954
Ottenbach,11,2548,5.7261410788,507.5697211155,10.7927786499,21.0361067504,62.1271585557,16.8367346939,3.9753528126,1.9876764063,5.1679586563,5.5654939376,1065,2.365258216,4.98,20.8835341365,20,55.2208835341,-19,19.8795180723,4.016064257,706,40,222,444,169,16,29,124,2.2530329289,14.0958517922,1.530406766,16.838342902,4.1343014747,18.608578183,34.889676911,2.0995159293,8.2179443882,4.9082517168,0.1660475065,4.8153776877,2.1558032196,3.16616,20.942408377,3.6246476037,0
Rifferswil,12,999,11,153.4562211982,7.7077077077,26.5265265265,59.0590590591,14.4144144144,6.1287027579,0,10.2145045965,6.1287027579,386,2.585492228,6.57,10.3500761035,10,64.8401826484,-10,22.6788432268,2.1308980213,248,43,87,118,79,17,19,43,0.6912442396,1.0427528676,0.6256517205000001,9.3218119927,1.7216548835,21.131186174,30.51846033,7.3972244043,9.0206860435,3.5676878764,0.24875621890000002,10.768525792,3.1094527363,3.194554,20.8550573514,0,0
Stallikon,13,3297,4.302435938,274.2928452579,18.7139824082,20.533818623,63.0573248408,16.4088565362,4.52079566,1.5069318867,10.8499095841,3.0138637734,1397,2.3507516106,12.01,11.0741049126,45,38.051623647,-41,49.7918401332,1.0824313072,853,42,233,578,192,15,27,150,0.8530183727,0,0.6289308176,18.813495547,3.4616831807,17.619465697,40.461557757,1.683180735,6.6374012291,4.0662235043,0.2357958109,3.9934779882,0.5518625361,2.475856,28.7511230907,2.3959269242,2.3959269242
Wettswil am Albis,14,4715,4.360336432,1250.6631299735,14.2099681866,21.6755037116,57.8366914104,20.487804878,4.2730477513,2.5638286508,9.6143574404,7.9051383399,1956,2.3962167689,3.77,40.848806366,54,33.9522546419,-52,20.9549071618,4.2440318302,1013,22,284,707,282,9,40,233,0.1438848921,8.824795523,0.9040034438000001,24.847733266,4.5036418435,14.386851689,32.089036795,2.2369082004,9.2333291473,4.0813763657,0.0737787266,4.6072460128,1.3295868391,2.610511,36.8058544985,3.4438226431,3.4438226431
Adlikon,21,608,5.3726169844000005,92.4012158055,7.8947368421,20.7236842105,63.1578947368,16.1184210526,5.0632911392,3.3755274262,3.3755274262,13.5021097046,245,2.4816326531,6.64,10.993975903599999,10,63.7048192771,-12,22.7409638554,2.5602409639,169,57,21,91,58,23,7,28,2.2988505747,5.1993067591,1.0398613518,7.3926283734,0.8610731912,8.3167069201,56.820329728,4.7254016591,3.9168329308,6.6260632154,0.0315026777,3.8328257902000002,5.9750078757,1.501628,25.9965337955,0,0
Benken (ZH),22,833,4.3859649123,147.1731448763,11.4045618247,19.8079231693,66.2665066026,13.9255702281,4.8163756773,1.2040939193,7.224563516,4.8163756773,351,2.3447293447,5.67,8.1128747795,6,57.671957672,-9,33.8624338624,0.3527336861,264,91,57,116,71,20,11,40,1.8087855297000002,3.6231884058,3.1400966184,10.85779721,1.5927545284,11.940453883,43.805954612,1.4053716427,3.8413491567999998,9.6293982927,0.0520508016,9.442015407,6.0274828232,1.405372,15.7004830918,0,0
Berg am Irchel,23,579,-3.3388981636,82.5962910128,8.8082901554,15.8894645941,62.6943005181,21.4162348877,5.1858254105,0,12.1002592913,3.4572169404,250,2.312,7.06,4.9575070822,6,48.1586402266,-9,45.3257790368,1.5580736544,157,52,27,78,57,22,10,25,0.36764705880000004,3.4602076125,1.2110726644,10.58531746,2.876984127,7.6686507937,50.148809524,3.1845238095,7.9067460317,8.2341269841,0.0496031746,4.2162698413,1.9642857142999999,3.164683,15.5709342561,0,0
Buch am Irchel,24,927,6.0640732265,90.7933398629,7.8748651564,24.7033441208,62.6752966559,12.6213592233,2.1645021645,1.0822510823,5.4112554113,5.4112554113,347,2.6195965418,10.12,6.8181818182,10,55.0395256917,-9,38.1422924901,0,167,67,34,66,63,23,4,36,0.2557544757,1.0857763301,0.542888165,12.908901864,1.9995201152000002,7.5421898744,51.419659282,1.5116372071000002,9.5177157482,7.4142205871,*,2.2794529313,4.6148924258,0.79181,5.4288816504,1.0857763301,4.3431053203
Dachsen,25,2008,3.5585353275,743.7037037037,15.0398406375,24.1035856574,58.8147410359,17.0816733068,3.5070140281,1.002004008,10.0200400802,4.0080160321,779,2.5519897304,2.69,31.5985130112,17,48.3271375465,-17,13.0111524164,7.063197026,407,17,172,218,104,7,27,70,2.9339853301,1.0080645161,1.0080645161,12.091106291,5.1670281996,19.79175705,32.060737527,4.5856832972,8.8459869848,5.7527114967,0.1735357918,6.9370932755,2.590021692,2.004338,34.2741935484,1.0080645161,0
