id,inhabitant per km^2
6619,712.59
5884,495.25
6408,1284.43
433,48.18
5477,428.64
2186,285.92
5478,191.25
6706,63.82
6783,47.36
6784,120.68
2250,397.95
2251,95.41
6708,246.69
6709,159.52
690,58.26
6785,91.66
434,58.4
2254,883.82
6710,184.17
5713,502.81
5714,552.94
5668,32.73
5283,38.42
2257,204.34
6452,224.42
5583,1363.41
5178,201.83
5910,53.26
5752,71.21
691,56.68
2130,169.44
5479,57.69
5911,42.39
5456,90.16
5138,81.02
2011,152.99
5516,932.07
3532,34.88
5180,1202.78
5181,190.88
5669,62.05
6610,139.57
25,737.55
1125,213.54
5480,166.85
1503,115.95
5071,13.24
6787,31.63
6620,175.79
3851,39.48
3401,275.07
535,39.44
2516,295.94
2051,139.94
6711,554.12
5631,204.56
5632,964.88
4004,54.25
2517,1086.63
6712,114.04
2884,166.53
86,1002.9
536,66.9
762,16.57
2845,485.92
3234,542.58
1053,518.44
385,151.27
4545,359.96
243,2739.76
54,1714.69
4231,232.97
216,211.44
4194,567.2
3982,22.66
2784,114.24
5481,72.58
3722,311.63
2013,328.78
3673,42.23
2014,211.04
5671,77.64
3705,43.99
5913,82.57
1001,107.03
26,112.09
2473,1124.7
6212,66.51
4065,956.19
386,333.65
4406,514.5
2535,165.19
2785,242.54
5715,258.48
2573,790.05
5855,354.04
214,122.58
84,841.07
2572,518.62
85,698.21
575,60.58
761,25.62
215,260.69
5912,28.27
2915,161.7
4304,550.5
191,1895.59
2293,248.67
113,703.13
952,75.93
4134,201.53
1126,46.96
1054,1300.21
3352,114.23
5518,808.1
5633,574.29
2131,170.07
5634,192.47
5482,174.57
2072,65.71
5635,2108.61
6713,35.33
4096,86.17
2401,477.89
192,571.93
4066,361.66
6004,56.59
3212,252.31
901,40.35
55,544.27
4195,209.48
4411,241.87
1127,318.71
4049,621.6
1084,287.95
3252,275.5
4161,306.99
1301,150.16
6194,32.65
6282,5.5
4097,63.66
217,264.85
218,181.2
219,425.5
6283,23.26
56,701.57
1024,1421.88
1504,54.54
4305,201.35
1402,53.77
6453,27.88
4026,1532.39
1505,484.77
1506,149.57
1002,57.76
5584,1934.2
2189,195.38
5914,68.53
2574,173.22
735,95.01
2885,45.91
6104,6.39
953,122.24
924,22.27
492,384.64
4476,269.66
151,1804.05
763,45.37
4005,389.64
2503,375.08
4646,296.45
1025,153.51
6056,15.15
2615,119.73
405,187.87
1206,64.22
1026,269.37
3342,162.08
4806,140.97
692,55.15
4724,676.26
1010,40.65
5915,55.07
5788,192.17
5856,97.43
5520,92.7
2015,682.31
5521,285.41
5636,583.0
2768,763.32
1128,202.48
2518,228.11
372,686.81
6213,25.04
6083,8.23
5716,597.44
925,121.59
4196,489.9
6789,45.89
5072,23.72
3572,26.58
5458,229.11
975,56.99
2192,216.15
172,661.37
2616,417.33
4561,355.72
2544,377.11
3731,181.4
6195,9.1
662,134.89
5789,151.85
2194,271.84
3713,1.17
5483,95.3
27,1396.0
1321,282.38
5522,82.16
3861,23.03
6057,82.96
6058,1.85
5556,60.32
3522,9.87
6214,19.61
493,144.54
1129,88.07
4067,509.03
114,77.12
4726,83.13
4306,68.28
4027,1069.59
28,132.45
3402,894.43
3662,36.8
3732,52.55
2545,304.53
3292,64.89
29,585.0
3951,33.63
1207,159.82
1004,17.33
5557,19.44
6790,83.81
5604,110.17
5672,53.33
948,169.47
5717,723.06
5105,4.12
538,151.11
4566,891.56
663,132.83
1322,1152.43
57,274.67
4028,240.55
607,160.41
2824,1389.35
6409,140.25
2196,4021.35
4163,511.62
5523,298.87
563,93.7
2258,148.41
2575,376.34
4307,168.72
6133,216.2
3862,5.95
193,1270.98
5427,315.87
2016,220.15
2825,935.42
3633,280.0
4571,369.93
3022,144.03
3442,633.52
1342,378.43
2259,70.28
494,92.41
5398,98.05
6118,82.48
495,74.26
3272,144.11
4164,114.04
4029,858.6
865,71.76
2846,585.85
4232,58.61
2474,143.05
2260,172.89
5718,372.69
6622,973.67
6621,12058.82
2519,2584.29
244,2507.37
1311,150.97
866,150.26
1130,171.93
1085,408.24
2826,797.01
5559,81.93
2294,280.84
5857,136.09
5428,99.47
5719,95.87
5073,44.92
4165,344.02
1055,1020.91
1403,41.34
5005,1374.0
2197,911.88
5720,248.1
5721,1443.97
1632,119.83
1630,117.94
1631,22.86
58,377.5
2022,325.6
5006,96.38
664,112.59
3213,1954.01
5484,145.05
3341,148.23
326,79.59
3102,58.45
4135,208.6
5108,639.09
5007,81.02
6410,143.13
3443,658.56
115,531.4
4651,850.0
5541,87.37
976,100.0
3273,127.69
6073,8.1
5186,801.59
5485,71.73
5817,80.35
5560,65.51
6792,42.62
5561,405.06
694,44.2
2134,31.9
2328,185.87
2198,779.4
2079,58.63
5187,1942.19
194,2278.11
2786,536.34
2546,629.56
2261,174.26
6177,7.93
5722,147.86
1056,316.06
5109,3.69
2576,435.63
6263,682.47
2617,152.67
576,22.02
2200,354.51
3832,67.23
303,191.19
1131,81.72
608,997.38
1086,157.29
3031,241.13
2135,73.16
5405,81.43
6285,97.69
4006,415.98
6238,106.78
116,373.07
3961,45.12
841,15.8
577,60.03
5008,84.02
852,28.36
2578,420.97
665,138.25
2262,234.17
1209,6.85
867,179.38
782,1.6
6117,41.05
6624,154.83
2901,109.37
2423,8.71
1208,4.23
578,18.6
2547,214.96
4656,156.95
579,12.69
4099,183.86
220,132.97
736,223.76
3941,53.96
2971,134.94
4197,351.57
2520,466.49
1005,42.97
406,149.15
783,29.12
2491,59.32
4486,152.52
4100,1037.11
4,250.8
2121,23.9
2281,179.66
6809,27.07
6729,96.09
2233,198.57
6454,1193.52
2137,55.26
5,550.38
4416,200.98
3032,535.77
927,124.42
928,1228.36
977,175.13
407,68.64
2296,152.15
4251,111.06
408,126.49
3372,45.72
2962,55.54
2848,76.68
4198,299.15
31,743.46
5819,102.31
2424,33.09
610,211.68
4811,72.79
1507,392.19
1132,59.39
3001,609.74
6625,658.9
5673,77.15
978,88.57
737,74.78
152,688.84
2827,195.27
4166,223.84
979,710.59
221,520.38
1088,288.27
929,1453.41
2618,155.5
409,342.86
3691,1.3
117,481.89
4007,420.68
132,221.24
173,273.79
1030,200.81
1031,949.01
59,326.67
2475,154.23
222,54.35
580,61.26
2476,416.89
1032,106.46
4495,77.72
4199,441.38
2425,81.0
4136,447.74
931,78.7
153,674.26
4816,61.3
1057,300.8
133,927.78
4421,1500.57
4167,120.49
932,12.3
2523,331.15
1058,1075.59
1210,5.78
2548,544.12
32,130.98
3002,40.55
4200,1076.38
954,271.93
2847,69.29
2579,339.01
3201,133.66
4068,301.03
2402,260.86
609,81.58
6084,12.79
410,104.62
2886,397.32
60,552.62
1703,478.06
2524,85.15
61,203.85
134,125.41
87,425.62
4590,70.41
4821,89.76
6239,21.94
541,82.9
3619,34.6
1363,73.22
174,643.4
6109,12.74
1364,641.2
980,184.02
1343,3.85
784,4.4
496,139.96
581,1297.25
1033,231.07
739,2122.11
5284,30.1
582,19.5
1211,8.51
4084,366.67
5009,30.8
5137,18.99
6134,57.53
2849,652.23
362,2627.08
868,199.22
2138,12.11
540,405.11
3863,44.2
3952,85.33
738,146.96
2264,237.29
4071,346.49
5885,670.83
3405,338.01
5804,80.28
5585,710.94
5754,31.4
6626,108.99
4252,1122.76
4308,1280.65
4169,141.4
4233,118.59
304,125.91
3313,247.99
2549,36.17
564,24.27
565,9.45
2580,580.0
6,122.09
305,124.36
869,485.71
870,939.95
4666,92.61
411,134.64
1404,64.14
2265,390.67
4426,225.34
2403,202.21
2492,61.52
611,191.08
2851,98.12
135,3001.54
4030,790.42
6197,31.19
412,639.12
3392,200.28
872,142.13
873,218.25
4275,178.21
354,242.2
33,198.83
2266,197.67
2619,77.08
4309,483.78
3871,20.0
62,953.37
7,308.29
1089,213.7
4310,389.9
612,385.68
413,300.58
4501,310.88
566,178.61
414,118.23
4671,1815.68
666,89.71
2525,1123.89
1059,985.84
175,53.48
2850,335.42
4276,482.35
355,778.82
3882,106.03
4031,342.83
154,1107.38
1331,421.94
4008,499.16
5871,42.78
5741,41.58
5486,62.24
6810,37.9
2234,175.93
6432,15.61
5474,62.59
6421,694.92
6744,24.32
6435,27.92
6504,36.39
435,39.0
2116,94.44
723,530.25
5758,29.49
3785,12.18
5726,64.82
2149,63.1
6423,36.72
5498,316.41
2235,149.28
5889,3371.47
6461,888.42
2338,85.99
3575,47.54
1344,3385.83
6627,157.18
6750,55.21
6286,532.54
5189,967.39
2887,125.81
6628,6062.4
613,61.73
3955,449.15
2888,61.96
2550,1928.21
329,885.41
136,847.4
902,187.74
4681,112.79
3513,24.24
842,13.89
1365,114.72
2787,473.1
34,259.52
4170,228.7
667,698.28
2426,108.38
903,124.98
5586,3212.1
2828,898.56
584,14.83
2889,45.53
5112,21.02
5406,62.16
5637,226.45
5323,3.0
6061,57.52
6741,27.45
6434,20.58
5872,44.75
2067,49.87
2337,120.86
2223,120.08
6623,2724.71
6455,439.86
5873,26.14
6436,452.04
5587,686.46
2220,165.19
6754,87.42
2145,247.77
5731,394.55
3833,13.88
4311,201.57
4137,416.07
585,92.96
4312,206.88
387,637.84
4683,168.78
792,19.94
6240,282.82
4201,778.06
6081,62.72
6742,46.52
6431,93.34
6743,133.55
5750,23.48
6745,20.45
6748,39.26
2050,131.72
6422,18.77
6437,69.92
6511,24.46
4313,155.43
6110,67.35
6111,22.84
4138,197.07
388,117.4
5407,221.05
6135,110.4
3374,696.07
6033,12.35
2890,84.62
2788,94.32
2829,760.5
740,302.81
5755,35.81
6456,75.8
176,444.93
614,99.02
5315,7.59
5113,808.83
5285,55.07
3707,4.91
2917,151.64
2526,590.38
874,120.22
4741,136.38
2551,255.56
5638,675.07
5429,45.03
5115,684.0
3821,14.44
2493,285.8
331,396.15
5674,39.6
696,67.15
5675,403.96
63,360.89
5192,826.68
6793,37.18
5858,223.97
2025,191.61
5639,375.74
5010,136.59
3618,12.8
1405,44.81
4104,425.49
2830,434.92
2270,78.26
5487,105.9
5640,272.46
2527,749.78
1135,35.11
5606,1125.09
3033,551.98
3891,39.11
1061,2768.49
306,956.23
415,230.69
2852,155.58
2024,76.11
2903,198.26
497,97.79
2464,127.05
2455,163.24
2456,104.55
3393,103.37
586,18.97
955,151.64
332,136.44
3783,13.88
4253,346.69
5317,22.95
5193,1361.82
3953,83.01
2853,186.85
3926,63.86
3954,205.54
1062,241.9
4826,113.08
4105,55.48
5194,528.75
5790,102.72
3253,473.42
5430,37.27
2206,1030.99
3533,1.63
5195,619.59
2140,223.33
35,140.35
6136,691.16
6137,61.4
8,141.88
3663,105.73
5196,8263.51
6215,257.81
2086,114.86
5919,82.9
3708,3.3
2208,542.56
587,624.29
543,153.03
2427,114.97
4591,333.07
5562,19.89
1091,161.23
195,657.67
5488,110.64
3983,3.0
1063,930.12
389,79.1
1064,203.56
307,236.74
156,1098.24
6629,296.41
390,296.18
785,114.92
4202,630.7
5197,301.06
333,147.06
5198,1060.37
4314,92.57
4033,1016.01
3293,61.65
2620,110.94
5254,462.9
4139,887.23
1704,157.59
1136,95.29
4234,251.81
5117,18.27
2936,47.29
6715,54.26
741,172.57
3822,7.87
2457,118.67
4184,88.47
6716,47.46
9,338.77
2477,107.61
5489,226.04
2271,1769.7
6630,2201.81
5199,127.73
5723,552.44
5200,56.56
6416,1018.5
5118,1235.09
615,254.66
2272,146.63
5821,104.59
6241,538.98
5490,38.98
5012,15.52
5431,26.33
6242,28.7
5921,38.66
6090,22.34
437,24.2
5491,17.66
5859,666.93
2029,125.8
5922,201.14
6411,39.31
6243,487.2
5693,71.57
5756,155.96
5013,290.36
5238,122.54
5202,265.48
2089,182.19
6751,31.24
5432,101.82
6153,598.67
5540,135.06
5792,131.14
5886,776.32
5492,34.41
4277,237.14
544,595.41
5257,2004.33
5203,251.6
2033,54.62
5642,3950.26
2143,229.32
5527,267.84
1366,53.12
3394,55.92
5119,5.92
5678,360.73
700,387.72
6718,46.77
4009,532.53
3534,0.83
4255,427.88
3617,35.74
2274,832.74
3202,112.86
1367,20.22
5120,4527.42
4279,153.65
4236,595.77
356,1686.01
6753,27.95
2034,74.63
2275,476.43
5563,43.17
3503,7.57
2770,1044.32
5205,540.38
4032,589.97
155,2208.0
4941,275.05
2027,81.15
2087,112.96
5791,334.29
4254,560.95
196,455.05
4106,98.98
6203,83.49
742,401.39
4203,646.67
3214,363.22
416,44.86
4235,182.94
668,104.41
875,110.48
876,476.03
4831,320.89
4107,323.17
2428,70.07
546,1106.97
2769,1627.58
669,192.31
4172,359.68
4746,652.89
616,956.57
6074,9.87
4691,584.26
498,266.8
6007,64.52
1137,662.73
3378,82.37
88,505.33
223,360.11
5206,380.68
6024,71.22
2789,115.34
3360,39.14
6458,1869.64
2404,284.15
670,222.22
4034,1555.08
1093,251.02
2937,1284.86
1705,254.91
4601,84.51
2904,113.14
2211,430.87
743,4449.34
981,250.37
2405,178.69
3422,94.75
2891,391.4
6198,39.46
89,1293.33
2495,869.52
90,784.35
3423,179.13
617,113.57
4204,1336.89
877,65.42
588,79.25
4035,1088.06
6064,9.62
91,405.09
4072,416.94
982,556.83
417,50.65
724,27.71
878,105.84
2213,88.94
1094,332.78
5207,186.9
5564,50.97
5260,464.41
5408,88.29
3693,5.56
2478,233.65
2621,178.43
2854,142.53
2035,99.24
5724,2842.71
64,528.05
357,71.09
983,193.4
2406,218.76
418,207.56
3424,235.92
619,208.42
2892,376.37
1508,192.57
2553,138.41
3111,128.83
65,107.47
6112,2.51
245,3019.16
4010,1070.87
2528,743.42
92,786.63
6076,4.25
2497,592.56
2972,71.88
3375,103.53
4173,72.06
934,861.73
629,52.75
1368,26.13
1095,427.69
4140,271.09
935,51.81
4073,595.73
4256,199.21
589,23.1
137,1796.03
3254,247.13
4037,923.67
4237,265.1
3612,13.31
2298,219.92
4038,1025.69
36,122.71
334,108.44
620,70.78
3407,438.22
93,359.84
2771,1367.39
391,121.99
766,17.67
4074,408.38
1706,193.81
419,51.42
10,644.64
985,48.59
2529,324.49
2407,485.47
335,60.77
4175,206.8
157,756.01
246,829.96
4280,1019.5
5680,77.29
5409,121.11
4257,78.09
2581,1501.13
2855,65.69
6631,6368.55
5565,98.83
5136,8.53
66,2923.71
5923,48.76
622,195.59
5757,555.33
5924,65.17
5208,679.62
2856,287.32
5410,16.23
5411,23.87
5493,66.42
5805,206.38
744,671.9
5121,388.78
6034,19.12
438,55.5
5925,47.14
5286,55.03
37,103.51
363,2706.35
94,381.28
4205,550.21
11,498.39
5529,92.67
5530,88.35
5494,99.91
5210,4474.71
5588,2848.0
5822,382.67
5495,787.01
5496,434.2
5531,66.43
6632,1199.61
701,52.96
5860,491.61
5076,8.55
6412,1672.17
716,17.26
1139,128.77
2772,468.04
224,712.5
4841,147.72
3294,11.94
177,569.63
5014,73.35
2216,29.25
392,471.69
2299,32.7
6633,1766.09
2300,57.59
726,79.46
6719,20.57
936,26.26
5533,151.7
5077,128.72
5497,182.43
5926,126.83
2122,171.96
2147,140.05
5212,289.57
5213,1960.98
2217,116.44
3784,17.88
6800,458.59
745,1391.36
6154,254.4
5214,1003.14
3561,18.44
5725,658.04
5078,24.21
2831,1431.96
6634,1096.0
5759,31.62
5015,37.57
6635,135.17
2221,169.53
5589,5425.23
5566,10.8
5643,2813.04
2038,34.97
5683,82.42
5607,123.03
5590,2953.64
6636,775.76
5216,459.22
450,77.53
3295,46.22
5079,13.91
309,83.15
67,389.37
1037,266.99
2832,305.33
2963,102.23
5760,43.29
6287,8.16
6244,260.49
4846,51.63
310,116.83
3340,1194.46
6199,62.79
1212,1.9
6720,44.72
3255,1024.31
715,12.68
2530,528.23
2301,148.36
6075,11.0
703,277.74
95,203.78
96,1174.23
3034,257.97
567,27.89
1345,293.44
1140,250.39
2893,170.11
4141,850.05
2773,2702.58
336,97.97
4281,218.31
4315,316.03
2333,168.42
4039,529.46
4110,132.36
441,67.72
5591,6891.53
5412,349.77
3035,134.28
767,85.64
5644,302.63
38,148.49
3235,1469.23
4258,782.6
3723,102.64
2148,289.33
138,1724.24
2857,203.46
1097,260.95
2582,317.14
4751,1739.74
225,416.34
6139,121.04
2276,142.54
6008,41.94
6181,24.19
2554,313.19
2703,1900.09
1369,8.59
4316,190.84
12,145.97
879,81.46
590,302.63
4111,311.16
3536,5.25
1707,671.23
5263,435.24
5609,1160.0
5413,224.65
6413,52.87
704,23.31
6803,35.86
2479,243.58
2790,43.16
1142,101.93
337,493.86
4431,242.4
2498,40.0
338,345.32
339,63.12
5861,2175.74
5761,72.31
5592,1129.45
5645,273.37
4436,1210.69
442,27.86
2096,456.24
1007,18.07
5125,130.2
3711,27.94
1065,540.39
5798,80.38
68,579.82
3215,5077.97
