commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Aadorf,8599,0.18,0.27,0.38,0.16,0.51,0.84
Aarau,20440,0.15,0.35,0.32,0.18,0.49,0.8
Aarberg,4422,0.17,0.3,0.34,0.19,0.5,0.89
Aarburg,7564,0.2,0.32,0.34,0.14,0.51,0.57
Aarwangen,4310,0.18,0.26,0.38,0.18,0.5,0.86
Abtwil,966,0.23,0.3,0.4,0.07,0.5,0.88
Aclens,537,0.21,0.31,0.35,0.13,0.52,0.72
Acquarossa,1850,0.16,0.23,0.36,0.26,0.5,0.88
Adelboden,3458,0.19,0.27,0.33,0.21,0.49,0.94
Adligenswil,5349,0.2,0.23,0.39,0.18,0.5,0.9
Adlikon,608,0.19,0.26,0.39,0.16,0.49,0.92
Adliswil,18446,0.18,0.31,0.33,0.19,0.5,0.66
Aedermannsdorf,546,0.2,0.23,0.4,0.18,0.54,0.96
Aefligen,1060,0.17,0.26,0.39,0.18,0.5,0.94
Aegerten,1876,0.17,0.25,0.37,0.22,0.5,0.84
Aesch (BL),10154,0.17,0.25,0.37,0.21,0.49,0.77
Aesch (LU),1050,0.16,0.28,0.38,0.17,0.51,0.9
Aesch (ZH),1184,0.19,0.23,0.36,0.22,0.51,0.85
Aeschi (SO),1242,0.14,0.29,0.41,0.16,0.51,0.95
Aeschi bei Spiez,2176,0.19,0.26,0.35,0.19,0.5,0.95
Aeugst am Albis,1959,0.19,0.21,0.43,0.16,0.5,0.87
Affeltrangen,2467,0.21,0.28,0.37,0.14,0.52,0.85
Affoltern am Albis,11551,0.18,0.3,0.35,0.17,0.5,0.73
Affoltern im Emmental,1167,0.17,0.25,0.37,0.21,0.51,0.96
Agarn,782,0.17,0.27,0.38,0.17,0.51,0.91
Agiez,294,0.22,0.3,0.32,0.16,0.47,0.84
Agno,4379,0.17,0.26,0.36,0.21,0.48,0.66
Aigle,9972,0.2,0.3,0.33,0.17,0.49,0.6
Aire-la-Ville,1151,0.25,0.25,0.39,0.12,0.5,0.82
Airolo,1570,0.15,0.25,0.36,0.24,0.51,0.76
Alberswil,642,0.2,0.33,0.35,0.11,0.51,0.88
Albinen,251,0.11,0.21,0.37,0.31,0.47,0.9
Albula/Alvra,1322,0.14,0.25,0.39,0.22,0.5,0.87
Alchenstorf,584,0.17,0.24,0.38,0.21,0.5,0.95
Allaman,402,0.18,0.27,0.36,0.19,0.52,0.72
Alle,1754,0.22,0.23,0.34,0.2,0.49,0.89
Allmendingen,553,0.17,0.2,0.4,0.23,0.49,0.92
Allschwil,20405,0.16,0.27,0.34,0.23,0.48,0.75
Alpnach,5833,0.18,0.31,0.37,0.14,0.51,0.85
Alpthal,598,0.19,0.23,0.42,0.17,0.52,0.92
Altbüron,974,0.19,0.28,0.38,0.15,0.52,0.92
Altdorf (UR),9140,0.17,0.3,0.34,0.2,0.49,0.86
Altendorf,6665,0.18,0.28,0.4,0.15,0.52,0.8
Alterswil,2033,0.18,0.28,0.38,0.17,0.5,0.94
Altikon,667,0.19,0.2,0.43,0.17,0.51,0.9
Altishofen,1579,0.22,0.34,0.32,0.12,0.51,0.83
Altnau,2114,0.2,0.26,0.39,0.15,0.5,0.81
Alto Malcantone,1400,0.18,0.22,0.39,0.21,0.49,0.92
Altstätten,11270,0.19,0.29,0.34,0.18,0.49,0.74
Altwis,410,0.27,0.25,0.37,0.11,0.51,0.91
