"Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren"

"Bezirk (>>) / Gemeinde (......)";"Fläche - Total 2004/09"
"......Brüttelen";661
"......Erlach";345
"......Finsterhennen";357
"......Gals";791
"......Gampelen";1080
"......Ins";2390
"......Lüscherz";543
"......Müntschemier";488
"......Siselen";553
"......Treiten";474
"......Tschugg";332
"......Vinelz";463
"......Bangerten";220
"......Bühl";298
"......Epsach";341
"......Hagneck";181
"......Hermrigen";345
"......Jens";460
"......Merzligen";226
"......Studen (BE)";270
"......Täuffelen";440
"......Walperswil";699
"......Worben";279
">> Oberaargau";33104
"......Aarwangen";987
"......Auswil";460
"......Bannwil";475
"......Bleienbach";569
"......Busswil bei Melchnau";284
"......Gondiswil";936
"......Langenthal";1727
"......Lotzwil";623
"......Madiswil";2316
"......Melchnau";1037
"......Obersteckholz";391
"......Oeschenbach";390
"......Reisiswil";197
"......Roggwil (BE)";782
"......Rohrbach";406
"......Rohrbachgraben";648
"......Rütschelen";399
"......Schwarzhäusern";375
"......Thunstetten";968
"......Ursenbach";913
"......Wynau";512
"......Eriswil";1133
"......Huttwil";1728
"......Walterswil (BE)";794
"......Wyssachen";1176
"......Attiswil";764
"......Berken";140
"......Bettenhausen";396
"......Farnern";365
"......Graben";317
"......Heimenhausen";583
"......Hermiswil";105
"......Herzogenbuchsee";982
"......Inkwil";338
"......Niederbipp";1745
"......Niederönz";278
"......Oberbipp";849
"......Ochlenberg";1208
"......Rumisberg";516
"......Seeberg";1578
"......Thörigen";454
"......Walliswil bei Niederbipp";144
"......Walliswil bei Wangen";307
"......Wangen an der Aare";521
"......Wangenried";290
"......Wiedlisbach";755
"......Wolfisberg";243
">> Emmental";69017
"......Aefligen";205
"......Alchenstorf";662
"......Burgdorf";1557
"......Ersigen";874
"......Hasle bei Burgdorf";2187
"......Heimiswil";2337
"......Hellsau";151
"......Hindelbank";672
"......Höchstetten";260
"......Kernenried";332
"......Kirchberg (BE)";905
"......Koppigen";692
"......Krauchthal";1936
"......Lyssach";606
"......Mötschwil";292
"......Niederösch";462
"......Oberburg";1415
"......Oberösch";212
"......Rüdtligen-Alchenflüh";270
"......Rumendingen";248
"......Rüti bei Lyssach";132
"......Willadingen";219
"......Wynigen";2824
"......Bätterkinden";1011
"......Utzenstorf";1696
"......Wiler bei Utzenstorf";380
"......Zielebach";191
"......Eggiwil";6025
"......Langnau im Emmental";4847
"......Lauperswil";2114
"......Röthenbach im Emmental";3681
"......Rüderswil";1718
"......Schangnau";3653
"......Signau";2212
"......Trub";6197
"......Trubschachen";1561
"......Affoltern im Emmental";1147
"......Dürrenroth";1404
"......Lützelflüh";2690
"......Rüegsau";1505
"......Sumiswald";5938
"......Trachselwald";1597
">> Bern-Mittelland";94643
"......Meikirch";1026
"......Bern";5159
"......Bolligen";1656
"......Bremgarten bei Bern";188
"......Kirchlindach";1192
"......Köniz";5108
"......Muri bei Bern";765
"......Oberbalm";1235
"......Stettlen";355
"......Vechigen";2481
"......Wohlen bei Bern";3622
"......Zollikofen";541
"......Ittigen";421
"......Ostermundigen";598
"......Bäriswil";277
"......Büren zum Hof";345
"......Deisswil bei Münchenbuchsee";213
"......Diemerswil";281
"......Etzelkofen";282
"......Fraubrunnen";769
"......Grafenried";475
"......Jegenstorf";891
"......Iffwil";503
"......Limpach";444
"......Mattstetten";379
"......Moosseedorf";632
"......Mülchi";382
"......Münchenbuchsee";890
"......Münchringen";239
"......Schalunen";140
"......Scheunen";219
"......Urtenen-Schönbühl";716
"......Wiggiswil";143
"......Zauggenried";366
"......Zuzwil (BE)";348
"......Arni (BE)";1041
"......Biglen";358
"......Bleiken bei Oberdiessbach";341
"......Bowil";1470
"......Brenzikofen";221
"......Freimettigen";293
"......Grosshöchstetten";344
"......Häutligen";304
"......Herbligen";274
"......Kiesen";471
"......Konolfingen";1278
"......Landiswil";1027
"......Linden";1325
"......Mirchel";236
"......Münsingen";1218
"......Niederhünigen";538
"......Oberdiessbach";1310
"......Oberthal";1061
"......Oppligen";340
"......Rubigen";699
"......Schlosswil";347
"......Tägertschi";360
"......Walkringen";1721
"......Worb";2100
"......Zäziwil";544
"......Oberhünigen";601
"......Allmendingen";378
"......Wichtrach";1159
"......Clavaleyres";98
"......Ferenbalm";923
"......Frauenkappelen";929
"......Golaten";278
"......Gurbrü";183
"......Kriechenwil";476
"......Laupen";408
"......Mühleberg";2629
"......Münchenwiler";247
"......Neuenegg";2196
"......Wileroltigen";411
"......Guggisberg";5487
"......Rüschegg";5741
"......Schwarzenburg";4482
"......Belp";2327
"......Gelterfingen";347
"......Gerzensee";784
"......Jaberg";128
"......Kaufdorf";210
"......Kehrsatz";443
"......Kirchdorf (BE)";610
"......Kirchenthurnen";126
"......Lohnstorf";183
"......Mühledorf (BE)";229
"......Mühlethurnen";292
"......Niedermuhlern";720
"......Noflen";274
"......Riggisberg";2993
"......Rüeggisberg";3570
"......Rümligen";465
"......Toffen";486
"......Wald (BE)";1328
">> Thun";32185
"......Niederstocken";549
"......Oberstocken";410
"......Reutigen";1128
"......Burgistein";750
"......Gurzelen";451
"......Kienersrüti";76
"......Seftigen";390
"......Uttigen";301
"......Wattenwil";1447
"......Amsoldingen";469
"......Blumenstein";1553
"......Buchholterberg";1527
"......Eriz";2178
"......Fahrni";667
"......Heiligenschwendi";557
"......Heimberg";536
"......Hilterfingen";279
"......Höfen";461
"......Homberg";648
"......Horrenbach-Buchen";2040
"......Oberhofen am Thunersee";277
"......Oberlangenegg";911
"......Pohlern";994
"......Schwendibach";151
"......Sigriswil";5536
"......Steffisburg";1345
"......Teuffenthal (BE)";457
"......Thierachern";754
"......Thun";2159
"......Uebeschi";438
"......Uetendorf";1016
"......Unterlangenegg";681
"......Wachseldorn";354
"......Zwieselberg";243
"......Forst-Längenbühl";452
">> Obersimmental-Saanen";57490
"......Boltigen";7696
"......Lenk";12304
"......St. Stephan";6085
"......Zweisimmen";7316
"......Gsteig";6241
"......Lauenen";5874
"......Saanen";11974
">> Frutigen-Niedersimmental";77380
"......Adelboden";8823
"......Aeschi bei Spiez";3092
"......Frutigen";7178
"......Kandergrund";3202
"......Kandersteg";13449
"......Krattigen";603
"......Reichenbach im Kandertal";12575
"......Därstetten";3279
"......Diemtigen";13002
"......Erlenbach im Simmental";3668
"......Oberwil im Simmental";4600
"......Spiez";1676
"......Wimmis";2233
">> Interlaken-Oberhasli";122897
"......Beatenberg";2922
"......Bönigen";1507
"......Brienz (BE)";4802
"......Brienzwiler";1764
"......Därligen";685
"......Grindelwald";17113
"......Gsteigwiler";703
"......Gündlischwand";1688
"......Habkern";5108
"......Hofstetten bei Brienz";870
"......Interlaken";436
"......Iseltwald";2185
"......Lauterbrunnen";16441
"......Leissigen";1037
"......Lütschental";1239
"......Matten bei Interlaken";597
"......Niederried bei Interlaken";429
"......Oberried am Brienzersee";2004
"......Ringgenberg (BE)";873
"......Saxeten";1916
"......Schwanden bei Brienz";705
"......Unterseen";1406
"......Wilderswil";1354
"......Gadmen";11656
"......Guttannen";20073
"......Hasliberg";4169
"......Innertkirchen";11999
"......Meiringen";4068
"......Schattenhalb";3148
">> Luzern-Stadt";2907
"......Luzern";2907
">> Luzern-Land";18752
"......Adligenswil";699
"......Buchrain";479
"......Dierikon";282
"......Ebikon";969
"......Gisikon";110
"......Greppen";330
"......Honau";125
"......Horw";1282
"......Kriens";2734
"......Malters";2857
"......Meggen";727
"......Meierskappel";675
"......Root";864
"......Schwarzenberg";3921
"......Udligenswil";625
"......Vitznau";892
"......Weggis";1181
">> Hochdorf";17749
"......Aesch (LU)";466
"......Altwis";290
"......Ballwil";873
"......Emmen";2034
"......Ermensee";570
"......Eschenbach (LU)";1319
"......Hitzkirch";2461
"......Hochdorf";959
"......Hohenrain";2339
"......Inwil";1033
"......Rain";942
"......Römerswil";1665
"......Rothenburg";1552
"......Schongau";1246
">> Sursee";27314
"......Beromünster";4219
"......Büron";539
"......Buttisholz";1677
"......Eich";589
"......Geuensee";643
"......Grosswangen";1969
"......Hildisrieden";699
"......Knutwil";978
"......Mauensee";717
"......Neuenkirch";2546
"......Nottwil";1031
"......Oberkirch";910
"......Rickenbach (LU)";1178
"......Ruswil";4531
"......Schenkon";677
"......Schlierbach";723
"......Sempach";895
"......Sursee";586
"......Triengen";2207
">> Willisau";33742
"......Alberswil";356
"......Altbüron";678
"......Altishofen";574
"......Dagmersellen";2386
"......Ebersecken";856
"......Egolzwil";417
"......Ettiswil";1251
"......Fischbach";805
"......Gettnau";602
"......Grossdietwil";1023
"......Hergiswil bei Willisau";3130
"......Luthern";3785
"......Menznau";3035
"......Nebikon";373
"......Pfaffnau";1755
"......Reiden";2701
"......Roggliswil";623
"......Schötz";1539
"......Ufhusen";1225
"......Wauwil";294
"......Wikon";828
"......Zell (LU)";1388
"......Willisau";4118
">> Entlebuch";42448
"......Doppleschwand";697
"......Entlebuch";5696
"......Flühli";10811
"......Hasle (LU)";4031
"......Romoos";3730
"......Schüpfheim";3851
"......Werthenstein";1569
"......Escholzmatt-Marbach";10635
"......Wolhusen";1428
">> Uri";105718
"......Altdorf (UR)";1023
"......Andermatt";6216
"......Attinghausen";4682
"......Bauen";379
"......Bürglen (UR)";5313
"......Erstfeld";5920
"......Flüelen";1242
"......Göschenen";10414
"......Gurtnellen";8335
"......Hospental";3497
"......Isenthal";6099
"......Realp";7796
"......Schattdorf";1627
"......Seedorf (UR)";1546
"......Seelisberg";1325
"......Silenen";14476
"......Sisikon";1629
"......Spiringen";6474
"......Unterschächen";8025
"......Wassen";9700
">> Einsiedeln";9906
"......Einsiedeln";9906
">> Gersau";1436
"......Gersau";1436
">> Höfe";3759
"......Feusisberg";1748
"......Freienbach";1377
"......Wollerau";634
">> Küssnacht (SZ)";2945
