"Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren"

"Bezirk (>>) / Gemeinde (......)";"Fläche - Total 2004/09"
"......Waldstatt";671
">> Mittelland";6030
"......Bühler";558
"......Gais";2119
"......Speicher";821
"......Teufen (AR)";1532
"......Trogen";1000
">> Vorderland";4645
"......Grub (AR)";423
"......Heiden";752
"......Lutzenberg";227
"......Rehetobel";671
"......Reute (AR)";493
"......Wald (AR)";683
"......Walzenhausen";700
"......Wolfhalden";696
">> Appenzell Innerrhoden";17250
"......Appenzell";1686
"......Gonten";2472
"......Rüte";4088
"......Schlatt-Haslen";1791
"......Schwende";5746
"......Oberegg";1467
">> St. Gallen";15766
"......Häggenschwil";915
"......Muolen";1034
"......St. Gallen";3932
"......Wittenbach";1230
"......Eggersriet";889
"......Andwil (SG)";625
"......Gaiserwald";1268
"......Gossau (SG)";2746
"......Waldkirch";3127
">> Rorschach";5045
"......Berg (SG)";378
"......Goldach";474
"......Mörschwil";987
"......Rorschach";177
"......Rorschacherberg";714
"......Steinach";451
"......Tübach";195
"......Untereggen";707
"......Thal";962
">> Rheintal";13892
"......Au (SG)";471
"......Balgach";654
"......Berneck";558
"......Diepoldsau";1118
"......Rheineck";221
"......St. Margrethen";686
"......Widnau";421
"......Altstätten";3954
"......Eichberg";547
"......Marbach (SG)";444
"......Oberriet (SG)";3452
"......Rebstein";432
"......Rüthi (SG)";934
">> Werdenberg";20650
"......Buchs (SG)";1595
"......Gams";2231
"......Grabs";5468
"......Sennwald";4149
"......Sevelen";3032
"......Wartau";4175
">> Sarganserland";51771
"......Bad Ragaz";2544
"......Flums";7514
"......Mels";13915
"......Pfäfers";12841
"......Quarten";6173
"......Sargans";947
"......Vilters-Wangs";3271
"......Walenstadt";4566
">> See-Gaster";24571
"......Amden";4301
"......Benken (SG)";1641
"......Kaltbrunn";1863
"......Schänis";3988
"......Weesen";540
"......Schmerikon";404
"......Uznach";760
"......Rapperswil-Jona";2222
"......Gommiswald";3359
"......Eschenbach (SG)";5493
">> Toggenburg";48853
"......Ebnat-Kappel";4357
"......Wildhaus-Alt St. Johann";8744
"......Nesslau";9267
"......Hemberg";2021
"......Lichtensteig";280
"......Oberhelfenschwil";1274
"......Neckertal";4900
"......Wattwil";5122
"......Kirchberg (SG)";4255
"......Lütisburg";1396
"......Mosnang";5057
"......Bütschwil-Ganterschwil";2180
">> Wil";14524
"......Degersheim";1444
"......Flawil";1149
"......Jonschwil";1105
"......Oberuzwil";1413
"......Uzwil";1446
"......Niederbüren";1582
"......Niederhelfenschwil";1629
"......Oberbüren";1776
"......Zuzwil (SG)";896
"......Wil (SG)";2084
">> Albula";69352
"......Alvaschein";406
"......Mon";851
"......Mutten";991
"......Stierva";1054
"......Tiefencastel";1485
"......Vaz/Obervaz";4251
"......Alvaneu";3568
"......Brienz/Brinzauls";1338
"......Lantsch/Lenz";2182
"......Schmitten (GR)";1132
"......Surava";696
"......Bergün/Bravuogn";14564
"......Filisur";4458
"......Bivio";7670
"......Cunter";711
"......Marmorera";1899
"......Mulegns";3380
"......Riom-Parsonz";5604
"......Salouf";3141
"......Savognin";2223
"......Sur";2318
"......Tinizong-Rona";5430
">> Bernina";23720
"......Brusio";4625
"......Poschiavo";19095
">> Hinterrhein";61767
"......Almens";836
"......Fürstenau";130
"......Paspels";457
"......Pratval";80
"......Rodels";168
"......Rothenbrunnen";310
"......Scharans";1428
"......Sils im Domleschg";932
"......Cazis";3120
"......Flerden";606
"......Masein";419
"......Thusis";684
"......Tschappina";2467
"......Urmein";435
"......Tomils";3053
"......Avers";9308
"......Hinterrhein";4838
"......Nufenen";2807
"......Splügen";6053
"......Sufers";3456
"......Andeer";4636
"......Casti-Wergenstein";2559
"......Donat";466
"......Lohn (GR)";814
"......Mathon";1513
"......Rongellen";204
"......Zillis-Reischen";2446
"......Ferrera";7542
">> Imboden";20376
"......Bonaduz";1445
"......Domat/Ems";2424
"......Rhäzüns";1328
"......Felsberg";1339
"......Flims";5045
"......Tamins";4071
"......Trin";4724
">> Inn";119678
"......Ardez";6144
"......Guarda";3145
"......Lavin";4618
"......Susch";9395
"......Tarasp";4690
"......Zernez";20391
"......Samnaun";5618
"......Ftan";4312
"......Scuol";14414
"......Sent";11172
"......Valsot";15916
"......Val Müstair";19863
">> Landquart";19319
"......Haldenstein";1855
"......Trimmis";4289
"......Untervaz";2767
"......Zizers";1096
"......Fläsch";1995
"......Jenins";1050
"......Maienfeld";3237
"......Malans";1138
"......Landquart";1892
">> Maloja";97341
"......Bever";4565
"......Celerina/Schlarigna";2403
"......Madulain";1635
"......Pontresina";11824
"......La Punt-Chamues-ch";6322
"......Samedan";11396
"......St. Moritz";2870
"......S-chanf";13801
"......Sils im Engadin/Segl";6354
"......Silvaplana";4471
"......Zuoz";6563
"......Bregaglia";25137
">> Moesa";49610
"......Arvigo";1702
"......Braggio";688
"......Buseno";1124
"......Castaneda";394
"......Cauco";1090
"......Rossa";5893
"......Santa Maria in Calanca";932
"......Selma";288
"......Lostallo";5091
"......Mesocco";16476
"......Soazza";4637
"......Cama";1506
"......Grono";1483
"......Leggia";915
"......Roveredo (GR)";3878
"......San Vittore";2202
"......Verdabbio";1311
">> Plessur";26673
"......Chur";2801
"......Churwalden";4858
"......Arosa";15473
"......Maladers";761
"......Tschiertschen-Praden";2780
">> Prättigau-Davos";85340
"......Davos";28397
"......Fideris";2532
"......Furna";3325
"......Jenaz";2595
"......Klosters-Serneus";19316
"......Conters im Prättigau";1839
"......Küblis";813
"......Saas";2675
"......Luzein";3163
"......St. Antönien";5222
"......Grüsch";4328
"......Schiers";6175
"......Seewis im Prättigau";4960
">> Surselva";137339
"......Castrisch";718
"......Falera";2235
"......Ilanz";470
"......Laax";3168
"......Ladir";721
"......Luven";664
"......Pitasch";1081
"......Riein";1582
"......Ruschein";1254
"......Sagogn";695
"......Schluein";481
"......Schnaus";298
"......Sevgein";460
"......Duvin";1791
"......St. Martin";2293
"......Vals";15258
"......Andiast";1363
"......Obersaxen";6153
"......Pigniu";1798
"......Rueun";1158
"......Siat";1348
"......Waltensburg/Vuorz";3232
"......Mundaun";859
"......Lumnezia";16543
"......Safiental";15142
"......Breil/Brigels";5083
"......Disentis/Mustér";9107
"......Medel (Lucmagn)";13620
"......Sumvitg";10184
"......Tujetsch";13392
"......Trun";5188
">> Aarau";10465
"......Aarau";1233
"......Biberstein";414
"......Buchs (AG)";533
"......Densbüren";1259
"......Erlinsbach (AG)";985
"......Gränichen";1727
"......Hirschthal";353
"......Küttigen";1189
"......Muhen";704
"......Oberentfelden";721
"......Suhr";1061
"......Unterentfelden";286
">> Baden";15330
"......Baden";1318
"......Bellikon";494
"......Bergdietikon";602
"......Birmenstorf (AG)";775
"......Ennetbaden";213
"......Fislisbach";513
"......Freienwil";402
"......Gebenstorf";570
"......Killwangen";240
"......Künten";488
"......Mägenwil";349
"......Mellingen";481
"......Neuenhof";541
"......Niederrohrdorf";335
"......Oberrohrdorf";431
"......Obersiggenthal";837
"......Remetschwil";387
"......Spreitenbach";863
"......Stetten (AG)";444
"......Turgi";150
"......Untersiggenthal";825
"......Wettingen";1063
"......Wohlenschwil";443
"......Würenlingen";939
"......Würenlos";900
"......Ehrendingen";727
">> Bremgarten";11752
"......Arni (AG)";345
"......Berikon";538
"......Bremgarten (AG)";797
"......Büttikon";282
"......Dottikon";388
"......Eggenwil";253
"......Fischbach-Göslikon";310
"......Hägglingen";775
"......Hermetschwil-Staffeln";334
"......Jonen";570
"......Niederwil (AG)";608
"......Oberlunkhofen";328
"......Oberwil-Lieli";537
"......Rudolfstetten-Friedlisberg";490
"......Sarmenstorf";828
"......Tägerig";328
"......Uezwil";245
"......Unterlunkhofen";449
"......Villmergen";1199
"......Widen";259
"......Wohlen (AG)";1244
"......Zufikon";480
"......Islisberg";165
">> Brugg";14501
"......Auenstein";572
"......Birr";504
"......Birrhard";301
"......Bözen";392
"......Brugg";634
"......Effingen";687
"......Elfingen";421
"......Habsburg";223
"......Hausen (AG)";318
"......Lupfig";514
"......Mandach";557
"......Mönthal";393
"......Mülligen";315
"......Oberflachs";341
"......Remigen";791
"......Riniken";475
"......Rüfenach";418
"......Scherz";333
"......Schinznach-Bad";189
"......Schinznach-Dorf";883
"......Thalheim (AG)";984
"......Veltheim (AG)";520
"......Villigen";1120
"......Villnachern";568
"......Windisch";492
"......Bözberg";1556
">> Kulm";9728
"......Beinwil am See";385
"......Birrwil";344
"......Burg (AG)";92
"......Dürrenäsch";590
"......Gontenschwil";977
"......Holziken";287
"......Leimbach (AG)";112
"......Leutwil";376
"......Menziken";642
"......Oberkulm";941
"......Reinach (AG)";953
"......Schlossrued";726
"......Schmiedrued";859
"......Schöftland";620
"......Teufenthal (AG)";355
"......Unterkulm";892
"......Zetzwil";577
">> Laufenburg";15684
"......Eiken";701
"......Frick";998
"......Gansingen";876
"......Gipf-Oberfrick";1020
"......Herznach";625
"......Hornussen";732
"......Kaisten";1809
"......Laufenburg";1446
"......Münchwilen (AG)";248
"......Oberhof";816
"......Oeschgen";441
"......Schwaderloch";279
"......Sisseln";259
"......Ueken";509
"......Wittnau";1125
"......Wölflinswil";949
"......Zeihen";691
"......Mettauertal";2160
">> Lenzburg";9796
"......Ammerswil";320
"......Boniswil";235
"......Brunegg";151
"......Dintikon";372
"......Egliswil";633
"......Fahrwangen";396
"......Hallwil";223
"......Hendschiken";351
"......Holderbank (AG)";232
"......Hunzenschwil";326
"......Lenzburg";1135
"......Meisterschwanden";430
"......Möriken-Wildegg";660
"......Niederlenz";328
"......Othmarsingen";472
"......Rupperswil";615
"......Schafisheim";636
"......Seengen";962
"......Seon";968
"......Staufen";351
">> Muri";13886
"......Abtwil";415
"......Aristau";871
"......Auw";855
"......Beinwil (Freiamt)";1132
"......Besenbüren";235
"......Bettwil";426
"......Boswil";1175
"......Bünzen";577
"......Buttwil";451
"......Dietwil";552
"......Geltwil";331
"......Kallern";269
"......Merenschwand";1355
"......Mühlau";551
"......Muri (AG)";1230
"......Oberrüti";533
"......Rottenschwil";446
"......Sins";2024
"......Waltenschwil";458
">> Rheinfelden";11174
"......Hellikon";705
"......Kaiseraugst";492
"......Magden";1103
"......Möhlin";1885
"......Mumpf";312
"......Obermumpf";504
"......Olsberg";461
"......Rheinfelden";1603
"......Schupfart";701
"......Stein (AG)";281
"......Wallbach";448
"......Wegenstetten";710
"......Zeiningen";1137
"......Zuzgen";832
">> Zofingen";14200
"......Aarburg";442
"......Attelwil";220
"......Bottenwil";510
"......Brittnau";1368
"......Kirchleerau";436
"......Kölliken";884
"......Moosleerau";385
"......Murgenthal";1862
"......Oftringen";1287
"......Reitnau";579
"......Rothrist";1177
"......Safenwil";603
"......Staffelbach";895
"......Strengelbach";602
"......Uerkheim";708
"......Vordemwald";1015
"......Wiliberg";120
"......Zofingen";1107
">> Zurzach";12997
"......Baldingen";281
"......Böbikon";261
"......Böttstein";745
"......Döttingen";695
"......Endingen";844
"......Fisibach";577
"......Full-Reuenthal";486
"......Kaiserstuhl";31
"......Klingnau";672
"......Koblenz";406
"......Leibstadt";637
"......Lengnau (AG)";1264
"......Leuggern";1373
"......Mellikon";269
"......Rekingen (AG)";312
"......Rietheim";393
"......Rümikon";293
"......Schneisingen";828
"......Siglistorf";553
"......Tegerfelden";706
"......Unterendingen";345
"......Wislikofen";373
"......Bad Zurzach";653
">> Arbon";8877
"......Arbon";593
"......Dozwil";131
"......Egnach";1846
"......Hefenhofen";614
"......Horn";174
"......Kesswil";442
"......Roggwil (TG)";1191
"......Romanshorn";870
"......Salmsach";263
"......Sommeri";415
"......Uttwil";437
"......Amriswil";1901
">> Frauenfeld";27948
"......Basadingen-Schlattingen";1567
"......Diessenhofen";1004
"......Schlatt (TG)";1547
"......Felben-Wellhausen";734
"......Frauenfeld";2736
"......Gachnang";981
"......Hüttlingen";1159
"......Matzingen";771
"......Neunforn";1136
"......Stettfurt";631
"......Thundorf";1564
"......Uesslingen-Buch";1400
"......Warth-Weiningen";824
"......Berlingen";355
"......Eschenz";1201
"......Herdern";1367
"......Homburg";2411
"......Hüttwilen";1768
"......Mammern";543
"......Müllheim";876
"......Pfyn";1314
"......Steckborn";877
"......Wagenhausen";1182
">> Kreuzlingen";12895
"......Altnau";670
"......Bottighofen";240
"......Ermatingen";1042
"......Gottlieben";36
"......Güttingen";950
"......Kemmental";2505
"......Kreuzlingen";1148
"......Langrickenbach";1087
"......Lengwil";884
"......Münsterlingen";540
"......Tägerwilen";1154
"......Wäldi";1222
"......Raperswilen";767
"......Salenstein";650
">> Münchwilen";13817
"......Aadorf";1990
"......Bettwiesen";385
"......Bichelsee-Balterswil";1215
"......Braunau";919
"......Eschlikon";615
"......Fischingen";3070
"......Lommis";863
"......Münchwilen (TG)";779
"......Rickenbach (TG)";156
"......Sirnach";1244
"......Tobel-Tägerschen";709
"......Wängi";1645
"......Wilen (TG)";227
">> Weinfelden";22725
"......Bischofszell";1168
"......Erlen";1223
"......Hauptwil-Gottshaus";1249
"......Hohentannen";799
"......Kradolf-Schönenberg";1094
"......Sulgen";910
"......Zihlschlacht-Sitterdorf";1219
"......Affeltrangen";1436
"......Schönholzerswilen";1093
"......Wuppenau";1213
"......Amlikon-Bissegg";1445
"......Berg (TG)";1313
"......Birwinken";1230
"......Bürglen (TG)";1167
"......Bussnang";1898
"......Märstetten";994
"......Weinfelden";1554
"......Wigoltingen";1720
">> Bellinzona";20568
"......Arbedo-Castione";2130
"......Bellinzona";1909
"......Cadenazzo";844
"......Camorino";827
"......Giubiasco";623
"......Gnosca";745
"......Gorduno";922
"......Gudo";989
"......Isone";1289
"......Lumino";1003
"......Moleno";741
"......Monte Carasso";965
"......Pianezzo";803
"......Preonzo";1645
"......Sant'Antonino";655
"......Sant'Antonio";3356
"......Sementina";835
"......C'za Cadenazzo/Monteceneri";287
">> Blenio";36074
"......Acquarossa";6163
"......Blenio";20221
"......Serravalle";9690
">> Leventina";47958
"......Airolo";9450
"......Bedretto";7519
"......Bodio";635
"......Dalpe";1450
"......Faido";12614
"......Giornico";1948
"......Personico";3905
"......Pollegio";592
"......Prato (Leventina)";1685
"......Quinto";7521
"......Sobrio";639
">> Locarno";55095
"......Ascona";498
"......Brione (Verzasca)";4850
"......Brione sopra Minusio";380
"......Brissago";1779
"......Cavigliano";546
"......Corippo";772
"......Frasco";2575
"......Gordola";701
"......Gresso";1111
"......Lavertezzo";5810
"......Locarno";1937
"......Losone";950
"......Mergoscia";1215
"......Minusio";587
"......Mosogno";862
"......Muralto";62
"......Orselina";196
"......Ronco sopra Ascona";500
"......Sonogno";3757
"......Tegna";288
"......Tenero-Contra";369
"......Vergeletto";4068
"......Verscio";305
"......Vogorno";2390
"......Onsernone";2988
"......Isorno";1706
"......Cugnasco-Gerra";3577
"......Centovalli";5142
"......Gambarogno";5174
">> Lugano";30801
"......Agno";249
"......Aranno";272
"......Arogno";855
"......Astano";383
"......Bedano";192
"......Bedigliora";247
"......Bioggio";649
"......Bissone";183
"......Bogno";422
"......Brusino Arsizio";408
"......Cademario";391
"......Cadempino";76
"......Cadro";445
"......Canobbio";130
"......Carona";477
"......Caslano";281
"......Certara";273
"......Cimadera";524
"......Comano";203
"......Croglio";437
"......Cureglia";108
"......Curio";285
"......Grancia";63
"......Gravesano";64
"......Lamone";184
"......Lugano";3212
"......Magliaso";110
"......Manno";240
"......Maroggia";97
"......Massagno";74
"......Melano";471
"......Melide";164
"......Mezzovico-Vira";1024
"......Miglieglia";511
"......Monteggio";336
"......Morcote";281
"......Muzzano";156
"......Neggio";88
"......Novaggio";435
"......Origlio";211
"......Paradiso";87
"......Ponte Capriasca";623
"......Ponte Tresa";41
"......Porza";159
"......Pura";309
"......Rovio";553
"......Savosa";74
"......Sessa";284
"......Sonvico";1109
"......Sorengo";87
"......Capriasca";3626
"......Torricella-Taverne";523
"......Valcolla";1131
"......Vernate";151
"......Vezia";138
"......Vico Morcote";188
"......Collina d'Oro";612
"......Alto Malcantone";2193
"......Monteceneri";3695
"......C'za Capriasca/Valcolla";7
">> Mendrisio";10086
"......Balerna";259
"......Besazio";87
"......Castel San Pietro";1180
"......Chiasso";530
"......Coldrerio";248
"......Ligornetto";203
"......Mendrisio";2157
"......Meride";747
"......Morbio Inferiore";231
"......Novazzano";517
"......Riva San Vitale";593
"......Stabio";617
"......Vacallo";162
"......Breggia";2555
">> Riviera";16649
"......Biasca";5912
"......Claro";2120
"......Cresciano";1723
"......Iragna";1834
"......Lodrino";3163
"......Osogna";1897
">> Vallemaggia";56940
"......Bosco/Gurin";2208
"......Campo (Vallemaggia)";4334
"......Cerentino";2011
"......Cevio";15132
"......Linescio";659
"......Maggia";11111
"......Lavizzara";18751
"......Avegno Gordevio";2734
">> Aigle";43501
"......Aigle";1647
"......Bex";9660
"......Chessel";355
"......Corbeyrier";2200
"......Gryon";1524
"......Lavey-Morcles";1414
"......Leysin";1853
"......Noville";1033
"......Ollon";5950
"......Ormont-Dessous";6402
"......Ormont-Dessus";6167
"......Rennaz";221
"......Roche (VD)";641
"......Villeneuve (VD)";3213
"......Yvorne";1221
">> Broye-Vully";26494
"......Avenches";1943
"......Cudrefin";1586
"......Faoug";347
"......Vully-les-Lacs";2114
"......Brenles";381
"......Bussy-sur-Moudon";309
"......Chavannes-sur-Moudon";515
"......Chesalles-sur-Moudon";166
"......Cremin";165
"......Curtilles";498
"......Dompierre (VD)";322
"......Forel-sur-Lucens";285
"......Hermenches";477
"......Lovatens";346
"......Lucens";783
"......Moudon";1571
"......Prévonloup";182
"......Rossenges";107
"......Sarzens";145
"......Syens";251
"......Villars-le-Comte";419
"......Vucherens";327
"......Carrouge (VD)";541
"......Corcelles-le-Jorat";795
"......Ropraz";479
"......Vulliens";670
"......Champtauroz";303
"......Chevroux";435
"......Corcelles-près-Payerne";1214
"......Grandcour";1023
"......Henniez";260
"......Missy";305
"......Payerne";2423
"......Trey";379
"......Treytorrens (Payerne)";310
"......Villarzel";768
"......Valbroye";3350
">> Gros-de-Vaud";23226
"......Bettens";375
"......Bournens";388
"......Boussens";318
"......Daillens";549
"......Lussery-Villars";373
"......Mex (VD)";288
"......Penthalaz";385
"......Penthaz";386
"......Sullens";394
"......Vufflens-la-Ville";538
"......Assens";531
"......Bercher";424
"......Bioley-Orjulaz";310
"......Bottens";694
"......Bretigny-sur-Morrens";285
"......Cugy (VD)";290
"......Echallens";667
"......Essertines-sur-Yverdon";972
"......Etagnières";377
"......Fey";740
"......Froideville";707
"......Morrens (VD)";370
"......Oulens-sous-Echallens";587
"......Pailly";575
"......Penthéréaz";569
"......Poliez-Pittet";501
"......Rueyres";198
"......Saint-Barthélemy (VD)";414
"......Villars-le-Terroir";712
"......Vuarrens";898
"......Montilliez";1181
"......Goumoëns";1069
"......Boulens";342
"......Ogens";339
"......Montanaire";3352
"......Jorat-Menthue";1765
"......Oppens";363
">> Jura-Nord vaudois";70127
"......Bonvillars";748
"......Bullet";1686
"......Champagne";393
"......Concise";1137
"......Corcelles-près-Concise";409
"......Fiez";683
"......Fontaines-sur-Grandson";792
"......Giez";476
"......Grandevent";345
"......Grandson";790
"......Mauborget";553
"......Mutrux";322
"......Novalles";206
"......Onnens (VD)";513
"......Provence";3186
"......Sainte-Croix";3931
"......Tévenon";1424
"......L'Abergement";582
"......Agiez";547
"......Arnex-sur-Orbe";763
"......Ballaigues";905
"......Baulmes";2255
"......Bavois";930
"......Bofflens";421
"......Bretonnières";548
"......Chavornay";1107
"......Les Clées";707
"......Corcelles-sur-Chavornay";546
"......Croy";448
"......Juriens";933
"......Lignerolle";1064
"......Montcherand";302
"......Orbe";1200
"......La Praz";512
"......Premier";604
"......Rances";984
"......Romainmôtier-Envy";697
"......Sergey";147
"......Valeyres-sous-Rances";639
"......Vallorbe";2319
"......Vaulion";1322
"......Vuiteboeuf";510
"......L'Abbaye";3191
"......Le Chenit";9924
"......Le Lieu";3252
"......Belmont-sur-Yverdon";651
"......Bioley-Magnoux";429
"......Chamblon";287
"......Champvent";901
"......Chavannes-le-Chêne";400
"......Chêne-Pâquier";208
"......Cheseaux-Noréaz";607
"......Cronay";659
"......Cuarny";460
"......Démoret";428
"......Donneloye";895
"......Ependes (VD)";483
"......Essert-Pittet";276
"......Mathod";661
"......Molondin";551
"......Montagny-près-Yverdon";350
"......Orges";402
"......Orzens";420
"......Pomy";559
"......Rovray";319
"......Suchy";668
"......Suscévaz";414
"......Treycovagnes";205
"......Ursins";340
"......Valeyres-sous-Montagny";229
"......Valeyres-sous-Ursins";284
"......Villars-Epeney";87
"......Vugelles-La Mothe";310
"......Yverdon-les-Bains";1355
"......Yvonand";1336
">> Lausanne";6511
"......Cheseaux-sur-Lausanne";457
"......Epalinges";462
"......Jouxtens-Mézery";192
"......Lausanne";4133
"......Le Mont-sur-Lausanne";975
"......Romanel-sur-Lausanne";292
">> Lavaux-Oron";13460
"......Belmont-sur-Lausanne";260
"......Paudex";50
"......Pully";591
"......Chexbres";216
"......Forel (Lavaux)";1849
"......Lutry";845
"......Puidoux";2288
"......Rivaz";30
"......Saint-Saphorin (Lavaux)";87
"......Savigny";1606
"......Bourg-en-Lavaux";965
"......Essertes";166
"......Ferlens (VD)";216
"......Maracon";441
"......Mézières (VD)";350
"......Montpreveyres";411
"......Servion";629
"......Oron";2460
">> Morges";37300
"......Apples";1297
"......Aubonne";941
"......Ballens";848
"......Berolle";959
"......Bière";2497
"......Bougy-Villars";178
"......Féchy";271
"......Gimel";1894
"......Mollens (VD)";1105
"......Montherod";495
"......Saint-Livres";810
"......Saint-Oyens";304
"......Saubraz";370
"......La Chaux (Cossonay)";679
"......Chavannes-le-Veyron";266
"......Chevilly";378
"......Cossonay";824
"......Cottens (VD)";240
"......Cuarnens";709
"......Dizy";310
"......Eclépens";582
"......Ferreyres";319
"......Gollion";546
"......Grancy";566
"......L'Isle";1626
"......Mauraz";47
"......Moiry";667
"......Mont-la-Ville";1976
"......Montricher";2595
"......Orny";551
"......Pampigny";1109
"......Pompaples";444
"......La Sarraz";774
"......Senarclens";393
"......Sévery";240
"......Aclens";390
"......Bremblens";295
"......Buchillon";215
"......Bussy-Chardonney";305
"......Chigny";87
"......Clarmont";101
"......Denens";329
"......Denges";168
"......Echandens";389
"......Echichens";1328
"......Etoy";494
"......Lavigny";397
"......Lonay";369
"......Lully (VD)";202
"......Lussy-sur-Morges";236
"......Morges";386
"......Préverenges";184
"......Reverolle";114
"......Romanel-sur-Morges";169
"......Saint-Prex";550
"......Tolochenaz";159
"......Vaux-sur-Morges";207
"......Villars-sous-Yens";303
"......Vufflens-le-Château";217
"......Vullierens";685
"......Yens";956
"......Allaman";255
">> Nyon";30747
"......Longirod";946
"......Marchissy";1194
"......Saint-George";1233
"......Arnex-sur-Nyon";210
"......Arzier";5185
"......Bassins";2087
"......Begnins";479
"......Bogis-Bossey";245
"......Borex";195
"......Chavannes-de-Bogis";287
"......Chavannes-des-Bois";217
"......Chéserex";1056
"......Coinsins";294
"......Commugny";649
"......Coppet";187
"......Crans-près-Céligny";427
"......Crassier";204
"......Duillier";407
"......Eysins";234
"......Founex";477
"......Genolier";487
"......Gingins";1258
"......Givrins";395
"......Gland";837
"......Grens";257
"......Mies";349
"......Nyon";686
"......Prangins";603
"......La Rippe";1660
"......Saint-Cergue";2427
"......Signy-Avenex";192
"......Tannay";181
"......Trélex";585
"......Le Vaud";312
"......Vich";156
"......Bursinel";180
"......Bursins";341
"......Burtigny";566
"......Dully";161
"......Essertines-sur-Rolle";700
"......Gilly";773
"......Luins";267
"......Mont-sur-Rolle";387
"......Perroy";286
"......Rolle";272
"......Tartegnin";108
"......Vinzel";108
">> Ouest lausannois";2626
"......Crissier";552
"......Prilly";218
"......Renens (VD)";295
"......Bussigny-près-Lausanne";478
"......Chavannes-près-Renens";166
"......Ecublens (VD)";569
"......Saint-Sulpice (VD)";182
"......Villars-Sainte-Croix";166
"-Riviera-Pays-d'Enhaut";28282
"......Château-d'Oex";11361
"......Rossinière";2336
"......Rougemont";4855
"......Blonay";1604
"......Chardonne";1029
"......Corseaux";106
"......Corsier-sur-Vevey";674
"......Jongny";216
"......Montreux";3344
"......Saint-Légier-La Chiésaz";1524
"......La Tour-de-Peilz";326
"......Vevey";235
"......Veytaux";672
">> Brig";43452
"......Brig-Glis";3800
"......Eggerberg";599
"......Naters";14718
"......Ried-Brig";4752
"......Simplon";9091
"......Termen";1878
"......Zwischbergen";8614
">> Conthey";23418
"......Ardon";2037
"......Chamoson";3240
"......Conthey";8509
"......Nendaz";8593
"......Vétroz";1039
">> Entremont";63314
"......Bagnes";28221
"......Bourg-Saint-Pierre";9015
"......Liddes";6015
"......Orsières";16504
"......Sembrancher";1766
"......Vollèges";1793
">> Goms";58880
"......Bellwald";1372
"......Binn";6504
"......Blitzingen";1181
"......Ernen";3537
"......Fiesch";1127
"......Fieschertal";17296
"......Lax";499
"......Niederwald";468
"......Grafschaft";2260
"......Münster-Geschinen";4861
"......Reckingen-Gluringen";4126
"......Obergoms";15584
"......Kommunanz Reckingen-Gluringen/Grafschaft";65
">> Hérens";47059
"......Les Agettes";507
"......Ayent";5504
"......Evolène";20999
"......Hérémence";10757
"......Saint-Martin (VS)";3696
"......Vex";1299
"......Mont-Noble";4297
">> Leuk";33592
"......Agarn";765
"......Albinen";1553
"......Ergisch";3007
"......Inden";989
"......Leuk";5529
"......Leukerbad";6721
"......Oberems";5024
"......Salgesch";1136
"......Varen";1276
"......Guttet-Feschel";1050
"......Gampel-Bratsch";2311
"......Turtmann-Unterems";4231
">> Martigny";26350
"......Bovernier";1291
"......Charrat";760
"......Fully";3784
"......Isérables";1528
"......Leytron";2692
"......Martigny";2490
"......Martigny-Combe";3769
"......Riddes";2391
"......Saillon";1368
"......Saxon";2323
"......Trient";3954
">> Monthey";25666
"......Champéry";3895
"......Collombey-Muraz";2981
"......Monthey";2858
"......Port-Valais";1432
"......Saint-Gingolph";1437
"......Troistorrents";3695
"......Val-d'Illiez";3925
"......Vionnaz";2095
"......Vouvry";3348
">> Raron";39808
"......Betten";2635
"......Bister";583
"......Bitsch";407
"......Grengiols";5850
"......Martisberg";301
"......Riederalp";2100
"......Ausserberg";1489
"......Blatten";9066
"......Bürchen";1340
"......Eischoll";1375
"......Ferden";2790
"......Kippel";1167
"......Niedergesteln";1746
"......Raron";3026
"......Unterbäch";2201
"......Wiler (Lötschen)";1469
"......Mörel-Filet";842
"......Steg-Hohtenn";1421
">> Saint-Maurice";19053
"......Collonges";1224
"......Dorénaz";1254
"......Evionnaz";4800
"......Finhaut";2279
"......Massongex";659
"......Saint-Maurice";1495
"......Salvan";5345
"......Vernayaz";565
"......Vérossaz";1432
">> Sierre";41868
"......Chalais";2445
"......Chermignon";536
"......Chippis";200
"......Grône";2110
"......Icogne";2498
"......Lens";1385
"......Miège";254
"......Mollens (VS)";3251
"......Montana";492
"......Randogne";1683
"......Saint-Léonard";386
"......Sierre";1922
"......Venthône";254
"......Veyras";145
"......Anniviers";24307
">> Sion";12554
"......Arbaz";1928
"......Grimisuat";445
"......Savièse";7101
"......Sion";2969
"......Veysonnaz";111
">> Visp";86371
"......Baltschieder";3139
"......Eisten";3797
"......Embd";1337
"......Grächen";1429
"......Lalden";126
"......Randa";5443
"......Saas-Almagell";11028
"......Saas-Balen";3021
"......Saas-Fee";4057
"......Saas-Grund";2458
"......St. Niklaus";8928
"......Stalden (VS)";1048
"......Staldenried";1430
"......Täsch";5871
"......Törbel";1763
"......Visp";1321
"......Visperterminen";5157
"......Zeneggen";751
"......Zermatt";24267
">> Boudry";10562
"......Bevaix";1081
"......Boudry";1674
"......Brot-Dessous";496
"......Corcelles-Cormondrèche";486
"......Cortaillod";366
"......Fresens";159
"......Gorgier";1398
